TreeID,Conductance_mmol_m2s
PIFL1,161.9
PIFL3,91.4
PIFL9,214.9
PIFL10,72.9
PIFL12,183.2
PIFL17,58.1
PIFL21,221.4
PIFL27,96
PIFL28,205.1
PIFL29,83.8
PIFL36,158.3
PIFL40,241.9
PIFL41,241.3
PIFL43,75.2
PIFL46,196.6
PIFL47,120.4
PIFL52,289.3
PIFL54,85.7
PIFL55,166.5
PIFL57,75.6
