TreeID,Conductance_mmol_m2s,VWC_perc
PIEN1,300.1,14.1
PIEN4,235.4,3.1
PIEN9,229.3,14.1
PIEN14,219.6,7.5
PIEN18,304.2,13.6
PIEN21,150.8,3.8
PIEN24,396.7,16.5
PIEN26,208.4,2.6
PIEN27,316.4,13.9
PIEN28,92.4,0
PIEN31,254.2,12.4
PIEN33,240.3,0.4
PIEN34,375.1,14.4
PIEN35,165.2,0.6
PIEN38,311.3,11.5
PIEN40,95.8,0
PIEN42,238.8,13.7
PIEN45,92.3,0
PIEN46,200.2,17.7
PIEN56,152.6,2.4
