TreeID,Conductance_mmol_m2s
PIPO1,187
PIPO2,78.8
PIPO5,106
PIPO10,69.7
PIPO11,79.7
PIPO16,75.5
PIPO18,57.8
PIPO19,57.6
PIPO20,88.9
PIPO22,49.2
PIPO31,155.1
PIPO32,69.8
PIPO35,166.7
PIPO48,55.8
PIPO51,86.5
PIPO52,61.2
PIPO53,202.5
PIPO55,63.2
PIPO56,
PIPO58,63.8
