TreeID,Conductance_mmol_m2s
PSME3,263.8
PSME6,187.4
PSME12,130.1
PSME15,74.1
PSME17,224.2
PSME20,89.9
PSME22,149.7
PSME26,69.3
PSME27,332.7
PSME30,90
PSME31,240.7
PSME35,99.3
PSME37,246.9
PSME42,83
PSME45,231.4
PSME46,119.8
PSME48,208.6
PSME50,172.9
PSME57,245.8
PSME58,117.9
