TreeID,Conductance_mmol_m2s
PIEN1,131.5
PIEN4,58.8
PIEN9,228
PIEN14,60.9
PIEN18,150.8
PIEN21,54.2
PIEN24,232.9
PIEN26,58.3
PIEN27,170.5
PIEN28,76.6
PIEN31,153.4
PIEN33,65.8
PIEN34,137.5
PIEN38,162.9
PIEN42,189.4
PIEN46,311.1
PIEN56,64.6
