TreeID,Fv_Fm_dark
PSME3,0.79
PSME6,0.78
PSME12,0.77
PSME15,0
PSME17,0.8
PSME20,0.05
PSME22,
PSME26,0
PSME27,0.8
PSME30,0.01
PSME31,0.79
PSME35,0.76
PSME37,0.81
PSME42,0.68
PSME45,0.79
PSME46,0.75
PSME48,0.77
PSME50,0.02
PSME57,0.79
PSME58,0.13
