TreeID,Fv_Fm_dark
PIPO1,0.79
PIPO2,0
PIPO5,0.78
PIPO10,0
PIPO11,0.78
PIPO16,0
PIPO18,0.79
PIPO19,0
PIPO20,0.78
PIPO22,0.07
PIPO31,0.78
PIPO32,0
PIPO35,0.76
PIPO48,0.1
PIPO51,0.75
PIPO52,0.57
PIPO53,0.79
PIPO55,0
PIPO56,
PIPO58,0.05
