TreeID,Fv_Fm_dark
PIEN1,0.81
PIEN4,0.49
PIEN9,0.8
PIEN14,0.63
PIEN18,0.81
PIEN21,0.39
PIEN24,0.81
PIEN26,0.24
PIEN27,0.79
PIEN28,0.04
PIEN31,0.8
PIEN33,0.54
PIEN34,0.8
PIEN35,0.01
PIEN38,0.78
PIEN40,0
PIEN42,0.8
PIEN45,0.09
PIEN46,0.81
PIEN56,0.76
