TreeID,Fv_Fm_dark
PIPO1,0.8
PIPO2,0.76
PIPO5,0.8
PIPO10,0.79
PIPO11,0.8
PIPO16,0.64
PIPO18,0.8
PIPO19,0.78
PIPO20,0.8
PIPO22,0.79
PIPO31,0.79
PIPO32,0.78
PIPO35,0.79
PIPO48,0.79
PIPO51,0.78
PIPO52,0.79
PIPO53,0.8
PIPO55,0.74
PIPO56,0.79
PIPO58,0.8
