TreeID,Fv_Fm_dark
PIFL1,0.82
PIFL3,0.81
PIFL9,0.81
PIFL10,0.81
PIFL12,0.81
PIFL17,0.83
PIFL21,0.8
PIFL27,0.82
PIFL28,0.82
PIFL29,0.81
PIFL36,0.81
PIFL40,0.81
PIFL41,0.8
PIFL43,0.79
PIFL46,0.81
PIFL47,0.81
PIFL52,0.82
PIFL54,0.83
PIFL55,0.82
PIFL57,0.82
