TreeID,Fv_Fm_dark
PIPO1,0.81
PIPO2,0.79
PIPO5,0.8
PIPO10,0.81
PIPO11,0.8
PIPO16,0.79
PIPO18,0.82
PIPO19,0.8
PIPO20,0.81
PIPO22,0.8
PIPO31,0.79
PIPO32,0.81
PIPO35,0.78
PIPO48,0.79
PIPO51,0.79
PIPO52,0.8
PIPO53,0.79
PIPO55,0.79
PIPO56,0.79
PIPO58,0.8
