TreeID,Fv_Fm_dark
PIFL1,0.81
PIFL3,0.8
PIFL9,0.79
PIFL10,0.75
PIFL12,0.79
PIFL17,0.79
PIFL21,0.75
PIFL27,0.8
PIFL28,0.8
PIFL29,0.79
PIFL36,0.79
PIFL40,0.79
PIFL41,0.79
PIFL43,0.74
PIFL46,0.8
PIFL47,0.79
PIFL52,0.8
PIFL54,0.8
PIFL55,0.81
PIFL57,0.77
