TreeID,Fv_Fm_dark
PSME3,0.8
PSME6,0
PSME12,0.78
PSME15,0
PSME17,0.79
PSME20,0
PSME22,
PSME26,0
PSME27,0.8
PSME30,0
PSME31,0.8
PSME35,0
PSME37,0.8
PSME42,0
PSME45,0.8
PSME46,0.22
PSME48,0.78
PSME50,0
PSME57,0.8
PSME58,0
