TreeID,Fv_Fm_dark
PIFL1,0.8
PIFL3,0.81
PIFL9,0.81
PIFL10,0.81
PIFL12,0.79
PIFL17,0.81
PIFL21,0.79
PIFL27,0.8
PIFL28,0.8
PIFL29,0.8
PIFL36,0.8
PIFL40,0.81
PIFL41,0.79
PIFL43,0.78
PIFL46,0.8
PIFL47,0.74
PIFL52,0.8
PIFL54,0.8
PIFL55,0.81
PIFL57,0.81
