TreeID,Pot_weight_g,Perc_brown
PIFL31,188.6,>90%
PIFL32,184.8,>90%
PIFL33,187.9,50%
PIFL34,189.3,>90%
PIFL35,183.5,90%
PIFL36,547.7,10%
PIFL37,200,25%
PIFL38,188.2,>90%
PIFL39,187.8,75%
PIFL40,198.6,25%
PIFL41,571.7,10%
PIFL42,189,>90%
PIFL43,184,>90%
PIFL44,195,10%
PIFL45,182.4,50%
PIFL46,567.8,10%
PIFL47,192.7,50%
PIFL48,191,>90%
PIFL49,188.1,>90%
PIFL50,188.5,50%
PIFL51,183.5,>90%
PIFL52,541,10%
PIFL53,198.6,10%
PIFL54,188.3,90%
PIFL55,560.9,10%
PIFL56,190.8,90%
PIFL57,192.8,>90%
PIFL58,188.3,>90%
PIFL59,189.5,>90%
PIFL60,183,>90%
