TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIEN1,564.5,10%,4.474
PIEN2,236.6,10%,
PIEN3,231,10%,
PIEN4,222.8,10%,4.232
PIEN5,226.1,10%,
PIEN6,265.5,10%,
PIEN7,235.3,10%,
PIEN8,329.9,10%,
PIEN9,578.7,10%,3.735
PIEN10,226.5,10%,
PIEN11,224.3,10%,
PIEN12,265.7,10%,
PIEN13,232.6,10%,
PIEN14,242.6,10%,3.685
PIEN15,237,10%,
PIEN16,293,10%,
PIEN17,264.2,10%,
PIEN18,574.7,10%,4.136
PIEN19,430.3,10%,
PIEN20,233.8,10%,
PIEN21,226.5,10%,4.727
PIEN22,221.2,10%,
PIEN23,233,10%,
PIEN24,565.2,10%,4.131
PIEN25,218.3,10%,
PIEN26,220.4,10%,4.452
PIEN27,541,10%,5.092
PIEN28,214.8,10%,4.168
PIEN29,413.1,10%,
PIEN30,221.4,10%,
PIEN31,543.5,10%,4.917
PIEN32,294.9,10%,
PIEN33,229,10%,3.808
PIEN34,531.7,10%,4.417
PIEN35,223.4,10%,3.957
PIEN36,212.5,10%,
PIEN37,237.7,10%,
PIEN38,501.8,10%,4.703
PIEN39,240.8,10%,
PIEN40,220.7,10%,4.172
PIEN41,214.4,10%,
PIEN42,517.6,10%,4.839
PIEN43,208.5,10%,
PIEN44,212.3,10%,
PIEN45,223.4,10%,4.356
PIEN46,506.3,10%,3.849
PIEN47,218.6,10%,
PIEN48,212.1,10%,
PIEN49,218,10%,
PIEN50,230.3,10%,
PIEN51,215.2,10%,
PIEN52,261.3,10%,
PIEN53,215.3,10%,
PIEN54,210.8,10%,
PIEN55,207.5,10%,
PIEN56,228.9,10%,3.778
PIEN57,217.3,10%,
PIEN58,229.7,10%,
PIEN59,214.6,10%,
PIEN60,215.7,10%,
