TreeID,Pot_weight_g,Perc_brown
PIEN1,502.8,10%
PIEN2,224.2,10%
PIEN3,219.6,10%
PIEN4,209.9,10%
PIEN5,216.5,10%
PIEN6,225.8,10%
PIEN7,225.1,10%
PIEN8,257.9,10%
PIEN9,546.8,10%
PIEN10,215.7,10%
PIEN11,214.3,10%
PIEN12,231.1,10%
PIEN13,222.6,10%
PIEN14,225.3,10%
PIEN15,223.9,10%
PIEN16,246,10%
PIEN17,235.6,10%
PIEN18,517.4,10%
PIEN19,375.7,10%
PIEN20,223.1,10%
PIEN21,213.4,10%
PIEN22,211.2,10%
PIEN23,216.4,10%
PIEN24,477.7,10%
PIEN25,208.2,10%
PIEN26,207.7,10%
PIEN27,469.7,10%
PIEN28,208.1,10%
PIEN29,341.1,10%
PIEN30,211.1,10%
PIEN31,488.9,10%
PIEN32,239.4,10%
PIEN33,216.4,10%
PIEN34,464.5,10%
PIEN35,211.7,10%
PIEN36,202.5,10%
PIEN37,210.3,10%
PIEN38,385.3,10%
PIEN39,216.6,10%
PIEN40,211.1,10%
PIEN41,203.8,10%
PIEN42,438,10%
PIEN43,197.5,10%
PIEN44,202.3,10%
PIEN45,212.2,10%
PIEN46,457.9,10%
PIEN47,204.5,10%
PIEN48,201.5,10%
PIEN49,206.5,10%
PIEN50,208.9,10%
PIEN51,203.8,10%
PIEN52,225.6,10%
PIEN53,203.9,25%
PIEN54,200.2,10%
PIEN55,196.1,10%
PIEN56,213.6,10%
PIEN57,204.5,10%
PIEN58,215.1,10%
PIEN59,203.8,10%
PIEN60,204.1,10%
