TreeID,Pot_weight_g,Perc_brown
PIFL1,553.3,10%
PIFL2,218.1,10%
PIFL3,209.8,10%
PIFL4,196.9,10%
PIFL5,209.3,10%
PIFL6,212.6,10%
PIFL7,201.1,10%
PIFL8,218.2,10%
PIFL9,262.6,10%
PIFL10,195.2,25%
PIFL11,208,10%
PIFL12,556.8,10%
PIFL13,196.5,10%
PIFL14,213.9,10%
PIFL15,200.1,10%
PIFL16,217.4,10%
PIFL17,201.1,25%
PIFL18,196.5,10%
PIFL19,211.6,10%
PIFL20,204.2,10%
PIFL21,537.9,10%
PIFL22,202.9,10%
PIFL23,201.2,10%
PIFL24,245.8,10%
PIFL25,274.4,10%
PIFL26,203,10%
PIFL27,204.7,10%
PIFL28,525.9,10%
PIFL29,200.7,25%
PIFL30,193.7,10%
PIFL31,199.2,10%
PIFL32,193.5,10%
PIFL33,200.7,10%
PIFL34,200.4,25%
PIFL35,194.8,10%
PIFL36,539.3,10%
PIFL37,217.5,10%
PIFL38,197,25%
PIFL39,202.9,10%
PIFL40,237.2,10%
PIFL41,544.3,10%
PIFL42,197.2,50%
PIFL43,193,75%
PIFL44,215.7,10%
PIFL45,196.5,10%
PIFL46,535.1,10%
PIFL47,210.7,10%
PIFL48,200.4,75%
PIFL49,198.1,10%
PIFL50,203.8,10%
PIFL51,192.9,25%
PIFL52,537.4,10%
PIFL53,221.5,10%
PIFL54,202.2,10%
PIFL55,482.5,10%
PIFL56,207.4,10%
PIFL57,207,10%
PIFL58,199.2,25%
PIFL59,198.7,25%
PIFL60,191.3,25%
