TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIFL1,531.6,10%,4.636
PIFL2,461.5,10%,4.855
PIFL3,444.1,10%,5.85
PIFL4,409.2,10%,4.547
PIFL5,446.6,10%,4.416
PIFL6,456.4,10%,5.186
PIFL7,384.4,10%,4.239
PIFL8,474.6,10%,5.61
PIFL9,535.1,10%,4.666
PIFL10,388,10%,4.447
PIFL11,446.4,10%,4.193
PIFL12,523.2,10%,4.505
PIFL13,379.3,10%,4.103
PIFL14,453.6,10%,4.639
PIFL15,427.9,10%,5.147
PIFL16,464,10%,3.953
PIFL17,408.7,10%,4.186
PIFL18,424.7,10%,4.491
PIFL19,442.8,10%,5.95
PIFL20,434.4,10%,4.707
PIFL21,531.7,10%,4.214
PIFL22,468.4,10%,6.222
PIFL23,458.2,10%,4.438
PIFL24,516.4,10%,4.504
PIFL25,489.7,10%,4.505
PIFL26,438.2,10%,4.963
PIFL27,472.7,10%,4.875
PIFL28,507.5,10%,5.121
PIFL29,446.8,10%,5.009
PIFL30,408.6,10%,3.771
PIFL31,420.2,10%,4.365
PIFL32,442.3,10%,5.895
PIFL33,461.9,10%,5.357
PIFL34,441.6,10%,4.437
PIFL35,387,10%,4.939
PIFL36,517.2,10%,5.273
PIFL37,496.8,10%,4.304
PIFL38,389.8,10%,4.551
PIFL39,469.2,10%,5.637
PIFL40,492.3,10%,4.174
PIFL41,522.6,10%,5.686
PIFL42,420.5,10%,4.675
PIFL43,425.7,10%,4.681
PIFL44,472.8,10%,4.76
PIFL45,408.2,10%,4.889
PIFL46,503.3,10%,4.626
PIFL47,476,10%,5.21
PIFL48,416.1,10%,5.523
PIFL49,451,10%,5.448
PIFL50,446.9,10%,3.987
PIFL51,368.8,10%,4.58
PIFL52,516,10%,5.669
PIFL53,475,10%,4.909
PIFL54,465,10%,4.56
PIFL55,488.2,10%,4.96
PIFL56,456.5,10%,4.166
PIFL57,452.4,10%,4.435
PIFL58,444.1,10%,5.029
PIFL59,404.3,10%,4.265
PIFL60,398.8,10%,4.492
