TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIPO1,489.4,10%,5.982
PIPO2,292.8,10%,5.136
PIPO3,309.5,10%,4.93
PIPO4,338.4,10%,4.998
PIPO5,518.6,10%,6.349
PIPO6,366.9,25%,6.165
PIPO7,414,10%,4.149
PIPO8,333.7,10%,6.489
PIPO9,308,10%,6.26
PIPO10,353.5,10%,5.71
PIPO11,384.5,10%,5.962
PIPO12,304.8,10%,6.654
PIPO13,367.1,10%,4.984
PIPO14,381.6,10%,5.232
PIPO15,418.7,10%,5.523
PIPO16,328.6,10%,4.017
PIPO17,445.9,10%,6.774
PIPO18,551.7,10%,5.405
PIPO19,372.5,10%,6.011
PIPO20,521.7,10%,5.574
PIPO21,414.4,10%,5.688
PIPO22,410.2,10%,4.973
PIPO23,387.9,10%,5.052
PIPO24,419.4,10%,4.038
PIPO25,377.7,10%,4.137
PIPO26,358,10%,5.837
PIPO27,328.3,10%,6.759
PIPO28,275,10%,6.549
PIPO29,355.7,10%,6.908
PIPO30,417.2,10%,5.706
PIPO31,539,10%,4.427
PIPO32,404.9,10%,5.272
PIPO33,316.2,10%,5.066
PIPO34,346.3,10%,4.907
PIPO35,542.2,10%,3.224
PIPO36,391.8,10%,5.314
PIPO37,417.4,10%,4.752
PIPO38,446.1,10%,4.987
PIPO39,446.2,10%,4.393
PIPO40,460.1,10%,5.017
PIPO41,347.3,10%,5.113
PIPO42,423.3,10%,5.535
PIPO43,383.3,10%,5.081
PIPO44,362.8,10%,5.315
PIPO45,410.1,10%,5.176
PIPO46,403.4,10%,5.245
PIPO47,452,10%,5.443
PIPO48,437.8,10%,5.472
PIPO49,403.4,10%,5.404
PIPO50,328.9,10%,6.116
PIPO51,501.8,10%,5.379
PIPO52,445.3,10%,4.679
PIPO53,519.3,10%,5.497
PIPO54,370.6,10%,5.101
PIPO55,295.5,10%,6.106
PIPO56,507.2,10%,4.459
PIPO57,390.3,10%,6.246
PIPO58,373.8,10%,4.518
PIPO59,444.5,10%,5.593
PIPO60,402.3,10%,5.76
