TreeID,Pot_weight_g,Perc_brown
PIPO1,448.1,10%
PIPO2,197.3,>90%
PIPO3,184.4,90%
PIPO4,194.4,>90%
PIPO5,393.3,10%
PIPO6,194.9,50%
PIPO7,193.5,25%
PIPO8,198.8,>90%
PIPO9,204.6,>90%
PIPO10,196.6,90%
PIPO11,361.4,10%
PIPO12,196.1,90%
PIPO13,190.3,90%
PIPO14,189.9,90%
PIPO15,202.2,75%
PIPO16,,
PIPO17,204.8,75%
PIPO18,485.9,10%
PIPO19,194.4,>90%
PIPO20,298.6,10%
PIPO21,189.6,75%
PIPO22,187.7,90%
PIPO23,189.2,>90%
PIPO24,192.2,>90%
PIPO25,192.5,75%
PIPO26,191.3,90%
PIPO27,195.3,>90%
PIPO28,190.2,>90%
PIPO29,192.6,90%
PIPO30,194.5,75%
PIPO31,392.2,10%
PIPO32,194.5,>90%
PIPO33,198.1,90%
PIPO34,190.1,75%
PIPO35,466.2,10%
PIPO36,201,75%
PIPO37,192,50%
PIPO38,195.2,50%
PIPO39,193.9,90%
PIPO40,194.1,50%
PIPO41,196,90%
PIPO42,188.5,90%
PIPO43,191.4,>90%
PIPO44,190.1,90%
PIPO45,197.4,90%
PIPO46,190.2,90%
PIPO47,197.3,90%
PIPO48,229.7,90%
PIPO49,199,>90%
PIPO50,192.5,90%
PIPO51,462.3,10%
PIPO52,190.7,75%
PIPO53,373.8,10%
PIPO54,194.7,>90%
PIPO55,,
PIPO56,,
PIPO57,201,75%
PIPO58,197.3,90%
PIPO59,204.3,25%
PIPO60,196.1,>90%
