TreeID,Pot_weight_g,Perc_brown
PSME1,211.7,10%
PSME2,212.5,10%
PSME3,521.3,10%
PSME4,223.3,10%
PSME5,263.7,10%
PSME6,215.1,10%
PSME7,205.2,10%
PSME8,206,10%
PSME9,208.4,10%
PSME10,197.5,75%
PSME11,203.2,10%
PSME12,468,10%
PSME13,225,10%
PSME14,211.2,25%
PSME15,204.7,10%
PSME16,209.5,10%
PSME17,524.5,10%
PSME18,213.4,10%
PSME19,221.2,10%
PSME20,206.1,10%
PSME21,197.5,10%
PSME22,560,50%
PSME23,205.7,10%
PSME24,209,10%
PSME25,297.4,10%
PSME26,200.8,75%
PSME27,413.2,10%
PSME28,195.1,10%
PSME29,208,10%
PSME30,195.8,10%
PSME31,360.6,10%
PSME32,194.7,10%
PSME33,209.7,10%
PSME34,226.1,10%
PSME35,217,10%
PSME36,206.3,10%
PSME37,423.8,10%
PSME38,204.1,10%
PSME39,195.1,10%
PSME40,200.3,10%
PSME41,198.3,10%
PSME42,207.3,10%
PSME43,205.3,10%
PSME44,203.5,10%
PSME45,513.7,10%
PSME46,218,10%
PSME47,201.4,10%
PSME48,526.9,10%
PSME49,194.6,10%
PSME50,204,10%
PSME51,210.5,10%
PSME52,234.5,10%
PSME53,198.9,10%
PSME54,202,10%
PSME55,199.2,10%
PSME56,197.6,10%
PSME57,454.7,10%
PSME58,202.3,10%
PSME59,204.1,10%
PSME60,205.1,10%
