TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIEN1,562.2,10%,4.525
PIEN2,274.5,10%,4.451
PIEN3,354.8,10%,5.134
PIEN4,367.3,10%,4.474
PIEN5,298.6,10%,5.004
PIEN6,419.2,10%,4.053
PIEN7,330.5,10%,5.253
PIEN8,431.8,10%,5.077
PIEN9,575.1,10%,3.371
PIEN10,285.9,10%,5.067
PIEN11,276.5,10%,5.239
PIEN12,413.5,10%,6.046
PIEN13,291.3,10%,5.688
PIEN14,372.6,10%,4.666
PIEN15,375.6,10%,5.43
PIEN16,404.1,10%,4.318
PIEN17,402.4,10%,5.881
PIEN18,571,10%,5.504
PIEN19,474.6,10%,3.97
PIEN20,326.1,10%,4.628
PIEN21,369.2,10%,5.338
PIEN22,281.3,10%,5.392
PIEN23,392,10%,4.291
PIEN24,571.2,10%,4.502
PIEN25,315.6,10%,4.617
PIEN26,364.5,10%,5.752
PIEN27,543.7,10%,4.909
PIEN28,241.3,10%,4.173
PIEN29,485.7,10%,2.764
PIEN30,303.2,10%,4.969
PIEN31,516.6,10%,5.434
PIEN32,559.9,10%,3.152
PIEN33,294,10%,4.014
PIEN34,444.2,10%,5.851
PIEN35,274.8,10%,4.601
PIEN36,239.9,10%,4.796
PIEN37,324.2,10%,5.452
PIEN38,395,10%,5.16
PIEN39,334.8,10%,4.745
PIEN40,240.6,10%,6.178
PIEN41,238.4,10%,4.987
PIEN42,407.2,10%,4.747
PIEN43,248.1,10%,4.026
PIEN44,224.5,10%,3.764
PIEN45,238.4,10%,5.109
PIEN46,490,10%,3.122
PIEN47,290.5,10%,5.098
PIEN48,256.6,10%,4.399
PIEN49,247.9,10%,5.055
PIEN50,290.5,10%,4.454
PIEN51,253.4,10%,5.15
PIEN52,331.4,10%,4.841
PIEN53,231.8,10%,6.375
PIEN54,238.3,10%,5.556
PIEN55,230.2,10%,5.54
PIEN56,291.9,10%,3.838
PIEN57,253.2,10%,5.547
PIEN58,281.6,10%,3.895
PIEN59,256.8,10%,5.778
PIEN60,270.7,10%,3.713
