TreeID,Pot_weight_g,Perc_brown
PIFL1,482.4,10%
PIFL2,243.5,10%
PIFL3,223.8,10%
PIFL4,206.7,10%
PIFL5,223.6,10%
PIFL6,224.5,10%
PIFL7,209.2,10%
PIFL8,242.9,10%
PIFL9,521.3,10%
PIFL10,204,10%
PIFL11,223.5,10%
PIFL12,502.9,10%
PIFL13,206,10%
PIFL14,232.8,10%
PIFL15,208.6,10%
PIFL16,242,10%
PIFL17,210.8,10%
PIFL18,206.8,10%
PIFL19,224.8,10%
PIFL20,221.3,10%
PIFL21,471,10%
PIFL22,213.9,10%
PIFL23,213.2,10%
PIFL24,297.1,10%
PIFL25,310.9,10%
PIFL26,212.9,10%
PIFL27,221.5,10%
PIFL28,430.6,10%
PIFL29,210.2,10%
PIFL30,202.6,10%
PIFL31,208.9,10%
PIFL32,201.8,10%
PIFL33,210.8,10%
PIFL34,209.9,10%
PIFL35,203.1,10%
PIFL36,478.9,10%
PIFL37,239,10%
PIFL38,204.7,10%
PIFL39,215.5,10%
PIFL40,269.3,10%
PIFL41,480.7,10%
PIFL42,204.8,10%
PIFL43,201.7,10%
PIFL44,232.6,10%
PIFL45,207.1,10%
PIFL46,460.6,10%
PIFL47,228.8,10%
PIFL48,209.4,10%
PIFL49,207.2,10%
PIFL50,217.3,10%
PIFL51,201.3,10%
PIFL52,458,10%
PIFL53,241.8,10%
PIFL54,214.5,10%
PIFL55,442.5,10%
PIFL56,220.8,10%
PIFL57,218.9,10%
PIFL58,208.9,10%
PIFL59,207,10%
PIFL60,199.2,10%
