TreeID,Pot_weight_g,Perc_brown
PSME1,214.5,10%
PSME2,216.1,10%
PSME3,503.4,10%
PSME4,228.1,10%
PSME5,273.3,10%
PSME6,222.1,10%
PSME7,207.3,10%
PSME8,209.1,10%
PSME9,211.5,10%
PSME10,198.7,10%
PSME11,205.9,10%
PSME12,454.3,10%
PSME13,233.1,10%
PSME14,215,10%
PSME15,206.8,10%
PSME16,212.4,10%
PSME17,485.1,10%
PSME18,218.2,10%
PSME19,226,10%
PSME20,208.9,10%
PSME21,200.2,10%
PSME22,528.8,10%
PSME23,207.2,10%
PSME24,213.6,10%
PSME25,200.2,10%
PSME26,202.2,10%
PSME27,431.1,10%
PSME28,196.8,10%
PSME29,210.7,10%
PSME30,197.9,10%
PSME31,356.4,10%
PSME32,197.1,10%
PSME33,213.4,10%
PSME34,232.6,10%
PSME35,220.7,10%
PSME36,209.5,10%
PSME37,428,10%
PSME38,206.6,10%
PSME39,197.9,10%
PSME40,202.2,10%
PSME41,200,10%
PSME42,210,10%
PSME43,207.7,10%
PSME44,205.1,10%
PSME45,496.6,10%
PSME46,222.6,10%
PSME47,203.1,25%
PSME48,506.2,10%
PSME49,197.2,10%
PSME50,206.3,10%
PSME51,213,10%
PSME52,241.4,10%
PSME53,201.5,10%
PSME54,204,10%
PSME55,201.3,10%
PSME56,199.5,10%
PSME57,476,10%
PSME58,204.6,10%
PSME59,206.6,10%
PSME60,207.7,10%
