TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIFL1,536,10%,4.75
PIFL2,442.3,10%,4.376
PIFL3,420,10%,5.123
PIFL4,377.4,10%,4.434
PIFL5,420,10%,4.184
PIFL6,423.9,10%,4.658
PIFL7,343.9,10%,4.416
PIFL8,455.8,10%,5.637
PIFL9,548.3,10%,4.718
PIFL10,340.7,10%,4.131
PIFL11,418.9,10%,3.917
PIFL12,537.9,10%,4.774
PIFL13,335.4,10%,4.314
PIFL14,423.4,10%,4.024
PIFL15,390.4,10%,5.165
PIFL16,439.2,10%,4.054
PIFL17,369.1,10%,3.574
PIFL18,386.9,10%,3.927
PIFL19,405.6,10%,5.772
PIFL20,405.3,10%,5.028
PIFL21,532.5,10%,4.585
PIFL22,435.3,10%,5.666
PIFL23,423.6,10%,4.438
PIFL24,499.4,10%,4.461
PIFL25,476.8,10%,4.569
PIFL26,400.3,10%,4.752
PIFL27,451.4,10%,4.964
PIFL28,531.9,10%,5.325
PIFL29,422.4,10%,5.026
PIFL30,375.7,10%,3.879
PIFL31,341,10%,4.604
PIFL32,345.4,10%,5.356
PIFL33,372.8,10%,4.608
PIFL34,351.3,10%,4.47
PIFL35,286.2,10%,5.131
PIFL36,461.1,10%,4.467
PIFL37,415.2,10%,4.264
PIFL38,288.4,10%,4.468
PIFL39,385.1,10%,5.246
PIFL40,428.3,10%,4.548
PIFL41,446.3,10%,5.122
PIFL42,301.3,10%,4.612
PIFL43,304.6,10%,4.434
PIFL44,384.9,10%,4.22
PIFL45,305.1,10%,4.481
PIFL46,400.6,10%,4.263
PIFL47,399,10%,5.419
PIFL48,289.9,10%,5.161
PIFL49,354.7,10%,5.199
PIFL50,363.1,10%,5.386
PIFL51,281.2,10%,4.577
PIFL52,462.6,10%,5.962
PIFL53,395.2,10%,4.551
PIFL54,375.1,10%,4.322
PIFL55,359.1,10%,4.743
PIFL56,370.2,10%,4.187
PIFL57,352.9,10%,5.065
PIFL58,337.6,10%,4.373
PIFL59,297,10%,4.243
PIFL60,287.8,10%,4.698
