TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIEN1,536.2,10%,4.108
PIEN2,319.3,10%,6.441
PIEN3,414.4,10%,6.24
PIEN4,421.3,10%,4.495
PIEN5,370.6,10%,5.631
PIEN6,464.4,10%,4.507
PIEN7,389.2,10%,5.422
PIEN8,462.2,10%,4.642
PIEN9,561.7,10%,4.665
PIEN10,363.8,10%,5.058
PIEN11,343.9,10%,5.441
PIEN12,456.8,10%,5.263
PIEN13,373.6,10%,5.416
PIEN14,424,10%,5.813
PIEN15,433.8,10%,5.026
PIEN16,444.5,10%,4.744
PIEN17,448.7,10%,5.25
PIEN18,535.9,10%,4.969
PIEN19,494.7,10%,3.851
PIEN20,398.4,10%,5.588
PIEN21,429.5,10%,5.592
PIEN22,354.8,10%,5.926
PIEN23,450,10%,4.67
PIEN24,531.8,10%,5.721
PIEN25,391.6,10%,5.273
PIEN26,423.2,10%,5.854
PIEN27,508.3,10%,5.966
PIEN28,328.7,10%,4.352
PIEN29,507.5,10%,3.444
PIEN30,387.8,10%,5.308
PIEN31,536.2,10%,4.678
PIEN32,474.2,10%,2.96
PIEN33,424.3,10%,4.753
PIEN34,503.5,10%,5.349
PIEN35,398.7,10%,4.736
PIEN36,364.1,10%,3.957
PIEN37,455.7,10%,3.839
PIEN38,501.1,10%,4.531
PIEN39,456,10%,5.156
PIEN40,334.4,10%,6.048
PIEN41,311.2,10%,5.532
PIEN42,483.4,10%,5.8
PIEN43,387.1,10%,5.058
PIEN44,284.7,10%,4.524
PIEN45,309.5,10%,5.617
PIEN46,492.1,10%,3.171
PIEN47,438.2,10%,4.676
PIEN48,413.1,10%,4.446
PIEN49,351.1,10%,5.344
PIEN50,417.7,10%,3.476
PIEN51,383.3,10%,6.431
PIEN52,455.2,10%,5.025
PIEN53,282.6,10%,6.148
PIEN54,342.8,10%,5.408
PIEN55,324.2,10%,5.288
PIEN56,417.7,10%,3.548
PIEN57,358.3,10%,6.088
PIEN58,413.5,10%,4.06
PIEN59,387.8,10%,5.263
PIEN60,398.7,10%,3.98
