TreeID,Pot_weight_g,Perc_brown
PIFL1,513.1,10%
PIFL2,259.2,10%
PIFL3,231.8,10%
PIFL4,211.7,10%
PIFL5,231.2,10%
PIFL6,230.9,10%
PIFL7,213.3,10%
PIFL8,258.4,10%
PIFL9,526.1,10%
PIFL10,208.2,10%
PIFL11,232.4,10%
PIFL12,521.7,10%
PIFL13,211,10%
PIFL14,243.6,10%
PIFL15,213,10%
PIFL16,254.2,10%
PIFL17,215.4,10%
PIFL18,212.4,10%
PIFL19,232.2,10%
PIFL20,231.5,10%
PIFL21,500,10%
PIFL22,222.3,10%
PIFL23,219.9,10%
PIFL24,322.2,10%
PIFL25,327.6,10%
PIFL26,218.4,10%
PIFL27,232.6,10%
PIFL28,443.9,10%
PIFL29,215.4,10%
PIFL30,207.1,10%
PIFL31,213.8,10%
PIFL32,206,10%
PIFL33,216.2,10%
PIFL34,214.9,10%
PIFL35,207.6,10%
PIFL36,498.2,10%
PIFL37,254.5,10%
PIFL38,208.9,10%
PIFL39,223.2,10%
PIFL40,286.5,10%
PIFL41,506.8,10%
PIFL42,208.9,10%
PIFL43,206.4,10%
PIFL44,240.9,10%
PIFL45,212.3,10%
PIFL46,493.9,10%
PIFL47,293.3,10%
PIFL48,214.1,10%
PIFL49,211.7,10%
PIFL50,224.2,10%
PIFL51,205.5,10%
PIFL52,497.1,10%
PIFL53,251.9,10%
PIFL54,221.1,10%
PIFL55,455,10%
PIFL56,227.5,10%
PIFL57,224.9,10%
PIFL58,214,10%
PIFL59,211.4,10%
PIFL60,203.8,10%
