TreeID,Pot_weight_g,Perc_brown
PIEN1,553.1,10%
PIEN2,229.8,10%
PIEN3,224.7,10%
PIEN4,214.7,10%
PIEN5,220.9,10%
PIEN6,236.1,10%
PIEN7,229.8,10%
PIEN8,284.5,10%
PIEN9,580.9,10%
PIEN10,220.6,10%
PIEN11,218.9,10%
PIEN12,240,10%
PIEN13,227.1,10%
PIEN14,231.3,10%
PIEN15,229.3,10%
PIEN16,261.5,10%
PIEN17,241.9,10%
PIEN18,565.5,10%
PIEN19,399.1,10%
PIEN20,227.9,10%
PIEN21,218.6,10%
PIEN22,216.2,10%
PIEN23,222.1,10%
PIEN24,560.1,10%
PIEN25,212.9,10%
PIEN26,213.2,10%
PIEN27,534.3,10%
PIEN28,212.7,10%
PIEN29,372.6,10%
PIEN30,216.1,10%
PIEN31,544.7,10%
PIEN32,258.3,10%
PIEN33,221.3,10%
PIEN34,534.1,10%
PIEN35,217.5,10%
PIEN36,207,10%
PIEN37,217.9,10%
PIEN38,463.1,10%
PIEN39,224.1,10%
PIEN40,216.2,10%
PIEN41,208.9,10%
PIEN42,519.3,10%
PIEN43,203.2,10%
PIEN44,207.5,10%
PIEN45,217.6,10%
PIEN46,520.2,10%
PIEN47,211,10%
PIEN48,206.8,10%
PIEN49,212.4,10%
PIEN50,216.6,10%
PIEN51,209.1,10%
PIEN52,238.9,10%
PIEN53,209.4,10%
PIEN54,205.8,10%
PIEN55,201.9,10%
PIEN56,220,10%
PIEN57,210.6,10%
PIEN58,221.7,10%
PIEN59,209.2,10%
PIEN60,209.6,10%
