TreeID,Pot_weight_g,Perc_brown
PIEN1,519.2,10%
PIEN2,231.5,10%
PIEN3,226.1,10%
PIEN4,216.2,10%
PIEN5,222.1,10%
PIEN6,244.7,10%
PIEN7,231,10%
PIEN8,297.2,10%
PIEN9,551.7,10%
PIEN10,222.1,10%
PIEN11,220.1,10%
PIEN12,246.9,10%
PIEN13,228.3,10%
PIEN14,234.1,10%
PIEN15,231.1,10%
PIEN16,271.3,10%
PIEN17,246.6,10%
PIEN18,525,10%
PIEN19,404.5,10%
PIEN20,229.3,10%
PIEN21,220.2,10%
PIEN22,217.2,10%
PIEN23,224.4,10%
PIEN24,500.7,10%
PIEN25,214,10%
PIEN26,214.8,10%
PIEN27,487.5,10%
PIEN28,211,10%
PIEN29,381.4,10%
PIEN30,217.1,10%
PIEN31,489.8,10%
PIEN32,268.1,10%
PIEN33,222.7,10%
PIEN34,464.4,10%
PIEN35,217.2,10%
PIEN36,207.9,10%
PIEN37,222.5,10%
PIEN38,406.8,10%
PIEN39,228.7,10%
PIEN40,215.2,10%
PIEN41,209.8,10%
PIEN42,467.5,10%
PIEN43,204.1,10%
PIEN44,208.2,10%
PIEN45,218.9,10%
PIEN46,471.5,10%
PIEN47,212.5,10%
PIEN48,207.7,10%
PIEN49,213.4,10%
PIEN50,221,10%
PIEN51,210.2,10%
PIEN52,245.5,10%
PIEN53,210.3,10%
PIEN54,206.7,10%
PIEN55,203,10%
PIEN56,221.7,10%
PIEN57,211.7,10%
PIEN58,223.6,10%
PIEN59,210.1,10%
PIEN60,210.8,10%
