TreeID,Pot_weight_g,Perc_brown
PIFL1,565.4,10%
PIFL2,203.9,10%
PIFL3,198.8,10%
PIFL4,188.3,25%
PIFL5,197.9,10%
PIFL6,203.4,10%
PIFL7,193.6,25%
PIFL8,205.1,10%
PIFL9,564.1,10%
PIFL10,187.7,75%
PIFL11,197.9,10%
PIFL12,565,10%
PIFL13,188,10%
PIFL14,202.4,10%
PIFL15,192.8,25%
PIFL16,203.5,10%
PIFL17,192.1,50%
PIFL18,187.3,10%
PIFL19,201.2,10%
PIFL20,194.1,10%
PIFL21,537.2,10%
PIFL22,193.3,10%
PIFL23,191.4,25%
PIFL24,218.8,10%
PIFL25,241.6,10%
PIFL26,194,10%
PIFL27,192.4,10%
PIFL28,524.4,10%
PIFL29,192.2,25%
PIFL30,186.1,10%
PIFL31,191.4,25%
PIFL32,186.7,50%
PIFL33,191.7,10%
PIFL34,192.2,25%
PIFL35,187.4,25%
PIFL36,553.9,10%
PIFL37,205.7,10%
PIFL38,190.3,75%
PIFL39,192.1,10%
PIFL40,217.1,10%
PIFL41,553.2,10%
PIFL42,190.9,>90%
PIFL43,186.4,>90%
PIFL44,202.2,10%
PIFL45,186.6,10%
PIFL46,560.4,10%
PIFL47,198.3,10%
PIFL48,193.2,>90%
PIFL49,190.7,75%
PIFL50,193.1,10%
PIFL51,185.6,50%
PIFL52,550.2,10%
PIFL53,206.5,10%
PIFL54,192.4,10%
PIFL55,539.1,10%
PIFL56,195.8,10%
PIFL57,197.1,25%
PIFL58,191.3,50%
PIFL59,191.7,90%
PIFL60,184.8,>90%
