TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIPO1,536.7,10%,5.917
PIPO2,260.9,10%,5.612
PIPO3,267.1,10%,4.865
PIPO4,273.7,10%,5.156
PIPO5,549.7,10%,6.158
PIPO6,322.1,10%,5.352
PIPO7,365.7,10%,4.376
PIPO8,278.3,10%,6.445
PIPO9,272,10%,6.402
PIPO10,292.7,10%,5.256
PIPO11,467.1,10%,5.921
PIPO12,260,10%,6.539
PIPO13,300.2,10%,4.459
PIPO14,321.7,10%,5.1
PIPO15,357.6,10%,5.084
PIPO16,282.1,10%,3.919
PIPO17,389.2,10%,5.997
PIPO18,583.2,10%,4.923
PIPO19,317.8,10%,5.042
PIPO20,535.2,10%,5.299
PIPO21,355.2,10%,5.604
PIPO22,357.8,10%,4.624
PIPO23,329.1,10%,4.811
PIPO24,377.7,25%,4.764
PIPO25,314,25%,4.303
PIPO26,302.4,10%,5.041
PIPO27,274.8,10%,6.271
PIPO28,249,10%,5.739
PIPO29,284.5,10%,6.42
PIPO30,360.1,10%,5.033
PIPO31,463.8,10%,4.883
PIPO32,286.4,10%,5.094
PIPO33,262.7,10%,5.005
PIPO34,261.7,25%,4.785
PIPO35,477.2,10%,4.341
PIPO36,311.5,10%,5.79
PIPO37,316.1,10%,5.1
PIPO38,313.9,10%,4.793
PIPO39,336,10%,4.132
PIPO40,371.5,10%,5.091
PIPO41,286.8,10%,4.99
PIPO42,319.4,10%,5.615
PIPO43,267,10%,5.052
PIPO44,268.5,10%,4.929
PIPO45,292.8,10%,5.026
PIPO46,282.5,25%,5.181
PIPO47,330.2,10%,5.16
PIPO48,359.6,10%,4.991
PIPO49,291,10%,5.158
PIPO50,256.9,10%,5.646
PIPO51,397.5,10%,5.866
PIPO52,327,25%,5.223
PIPO53,394.1,25%,5.3
PIPO54,276.3,10%,4.943
PIPO55,254.7,10%,6.707
PIPO56,464.5,10%,4.622
PIPO57,279.3,10%,6.244
PIPO58,282.4,10%,5.437
PIPO59,357.3,10%,5.406
PIPO60,302.2,10%,5.688
