TreeID,Pot_weight_g,Perc_brown
PSME1,206.3,10%
PSME2,206.6,10%
PSME3,509.2,10%
PSME4,216.7,10%
PSME5,252.6,10%
PSME6,207.1,10%
PSME7,201,25%
PSME8,201.5,10%
PSME9,203.8,10%
PSME10,194.1,>90%
PSME11,198.9,10%
PSME12,446.5,10%
PSME13,216,10%
PSME14,206,25%
PSME15,201.2,75%
PSME16,204.8,10%
PSME17,500.5,10%
PSME18,207.6,10%
PSME19,215.4,10%
PSME20,201.9,25%
PSME21,192.7,10%
PSME22,,
PSME23,196.1,10%
PSME24,202.5,10%
PSME25,192.3,10%
PSME26,197.2,>90%
PSME27,386.3,10%
PSME28,191.1,50%
PSME29,202.9,10%
PSME30,191.7,10%
PSME31,364.7,10%
PSME32,189.9,10%
PSME33,203.6,10%
PSME34,217.3,10%
PSME35,211.3,10%
PSME36,200.9,10%
PSME37,384.7,10%
PSME38,199.3,10%
PSME39,191.4,10%
PSME40,195.7,10%
PSME41,194.3,10%
PSME42,202.2,10%
PSME43,200.2,10%
PSME44,199.5,25%
PSME45,496.6,10%
PSME46,211.4,10%
PSME47,197,25%
PSME48,495.9,10%
PSME49,190.2,25%
PSME50,200.1,50%
PSME51,205.5,10%
PSME52,225,10%
PSME53,194.3,10%
PSME54,197.9,10%
PSME55,194.8,10%
PSME56,193,10%
PSME57,428.6,10%
PSME58,198,25%
PSME59,199.6,10%
PSME60,200.8,10%
