TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIPO1,549,10%,5.835
PIPO2,218,10%,4.839
PIPO3,211.1,10%,
PIPO4,218.8,10%,
PIPO5,553.3,10%,6.198
PIPO6,223.7,10%,
PIPO7,233.5,10%,
PIPO8,224.7,10%,
PIPO9,231,10%,
PIPO10,226.6,10%,6.224
PIPO11,507.2,10%,6.466
PIPO12,221.5,10%,
PIPO13,216.3,10%,
PIPO14,225.5,10%,
PIPO15,242.4,10%,
PIPO16,225.8,50%,3.612
PIPO17,247.8,10%,
PIPO18,584.8,10%,5.932
PIPO19,226.4,10%,5.504
PIPO20,539.8,10%,5.628
PIPO21,222.9,10%,
PIPO22,215.3,10%,5.289
PIPO23,214.4,10%,
PIPO24,220.9,10%,
PIPO25,216.4,10%,
PIPO26,215.3,10%,
PIPO27,220.8,10%,
PIPO28,215.1,10%,
PIPO29,217.8,10%,
PIPO30,230.2,10%,
PIPO31,562.1,10%,4.009
PIPO32,218.4,10%,4.161
PIPO33,222.8,10%,
PIPO34,213.7,10%,
PIPO35,564,10%,4.878
PIPO36,240.8,10%,
PIPO37,220.7,10%,
PIPO38,224.8,10%,
PIPO39,221.6,10%,
PIPO40,226.8,10%,
PIPO41,224.7,10%,
PIPO42,219.6,10%,
PIPO43,214.2,10%,
PIPO44,213.8,10%,
PIPO45,222.5,10%,
PIPO46,214.5,10%,
PIPO47,227.4,10%,
PIPO48,270.5,10%,5.558
PIPO49,226.1,10%,
PIPO50,219,10%,
PIPO51,533,10%,5.419
PIPO52,219.4,10%,5.395
PIPO53,541.4,10%,5.161
PIPO54,220.6,10%,
PIPO55,221.5,10%,5.432
PIPO56,553.4,50%,4.312
PIPO57,217,10%,
PIPO58,223.1,10%,5.195
PIPO59,250.3,10%,
PIPO60,225.8,10%,
