TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIPO1,516.6,10%,6.351
PIPO2,365,10%,5.364
PIPO3,378,10%,5.409
PIPO4,418.8,10%,5.487
PIPO5,540.5,10%,6.778
PIPO6,435.1,10%,6.149
PIPO7,468.7,10%,4.54
PIPO8,425.6,10%,6.55
PIPO9,405.1,10%,6.45
PIPO10,440.7,10%,5.817
PIPO11,449.3,10%,6.312
PIPO12,400.9,10%,7.253
PIPO13,438.3,10%,5.449
PIPO14,447.9,10%,5.712
PIPO15,480.3,10%,5.444
PIPO16,410.8,10%,4.251
PIPO17,598.2,10%,6.842
PIPO18,549.3,10%,5.853
PIPO19,445.5,10%,6.101
PIPO20,524.6,10%,5.522
PIPO21,477.1,10%,5.957
PIPO22,465.4,10%,5.188
PIPO23,451.2,10%,5.166
PIPO24,465.1,10%,5.046
PIPO25,449.4,10%,4.268
PIPO26,424.4,10%,5.715
PIPO27,410.8,10%,7.458
PIPO28,357.7,10%,6.257
PIPO29,434.6,10%,6.848
PIPO30,478,10%,5.741
PIPO31,537.3,10%,4.63
PIPO32,481.5,10%,5.236
PIPO33,413.9,10%,5.083
PIPO34,444.1,10%,4.856
PIPO35,537.1,10%,4.462
PIPO36,469.2,10%,6.295
PIPO37,471.4,10%,5.114
PIPO38,501.9,10%,4.894
PIPO39,507,10%,4.161
PIPO40,505.7,10%,5.652
PIPO41,408.1,10%,5.569
PIPO42,467.1,10%,5.783
PIPO43,443.1,10%,5.866
PIPO44,416.4,10%,5.731
PIPO45,459.5,10%,5.598
PIPO46,454.2,10%,5.574
PIPO47,493,10%,5.308
PIPO48,476.2,10%,6.378
PIPO49,454.7,10%,5.78
PIPO50,380.3,10%,6.227
PIPO51,490.3,10%,5.834
PIPO52,482.6,10%,5.11
PIPO53,506.5,10%,5.865
PIPO54,434.6,10%,5.518
PIPO55,354.4,10%,7.806
PIPO56,502,10%,4.968
PIPO57,450.3,10%,6.277
PIPO58,427.5,10%,5.013
PIPO59,486,10%,5.473
PIPO60,446.4,10%,6.685
