TreeID,Pot_weight_g,Perc_brown
PIFL1,516.8,10%
PIFL2,313.3,10%
PIFL3,264.6,10%
PIFL4,228.5,10%
PIFL5,257.7,10%
PIFL6,252.7,10%
PIFL7,224.6,10%
PIFL8,325,10%
PIFL9,536.6,10%
PIFL10,220.1,10%
PIFL11,265.5,10%
PIFL12,534.2,10%
PIFL13,224.9,10%
PIFL14,288.1,10%
PIFL15,226.8,10%
PIFL16,296.6,10%
PIFL17,229.7,10%
PIFL18,231.5,10%
PIFL19,262.4,10%
PIFL20,267.7,10%
PIFL21,531.4,10%
PIFL22,269.3,10%
PIFL23,247.2,10%
PIFL24,384.9,10%
PIFL25,371.7,10%
PIFL26,238.4,10%
PIFL27,294.8,10%
PIFL28,485.5,10%
PIFL29,239.7,10%
PIFL30,221.2,10%
PIFL31,227.8,10%
PIFL32,216.9,10%
PIFL33,235.8,10%
PIFL34,228.8,10%
PIFL35,218.2,10%
PIFL36,500.6,10%
PIFL37,304.4,10%
PIFL38,217.8,10%
PIFL39,255.1,10%
PIFL40,329.6,10%
PIFL41,497.5,10%
PIFL42,217.9,10%
PIFL43,215.9,10%
PIFL44,266.3,10%
PIFL45,225.7,10%
PIFL46,491.1,10%
PIFL47,275.9,10%
PIFL48,223.2,10%
PIFL49,223.7,10%
PIFL50,245.7,10%
PIFL51,215.4,10%
PIFL52,508.9,10%
PIFL53,282,10%
PIFL54,242.4,10%
PIFL55,451.1,10%
PIFL56,247.7,10%
PIFL57,240.7,10%
PIFL58,226,10%
PIFL59,221.2,10%
PIFL60,213.6,10%
