TreeID,Pot_weight_g,Perc_brown
PSME1,190.6,75%
PSME2,190.6,50%
PSME3,408.1,10%
PSME4,188.7,75%
PSME5,212.5,10%
PSME6,179.7,75%
PSME7,188,90%
PSME8,188.4,75%
PSME9,190.8,90%
PSME10,183.2,>90%
PSME11,184.4,50%
PSME12,333.6,10%
PSME13,190.2,75%
PSME14,189.8,90%
PSME15,189.7,90%
PSME16,190.1,75%
PSME17,349.4,10%
PSME18,188.3,75%
PSME19,192.8,50%
PSME20,190.2,>90%
PSME21,180.5,75%
PSME22,,
PSME23,178.9,50%
PSME24,183,50%
PSME25,176.2,75%
PSME26,187,>90%
PSME27,404.9,10%
PSME28,181.4,90%
PSME29,188.4,90%
PSME30,180.9,90%
PSME31,338.1,10%
PSME32,177.5,75%
PSME33,185,50%
PSME34,189.1,10%
PSME35,191.1,50%
PSME36,186.9,90%
PSME37,348.4,10%
PSME38,187.2,>90%
PSME39,180.3,90%
PSME40,183.6,>90%
PSME41,183.8,>90%
PSME42,186.8,90%
PSME43,185.9,90%
PSME44,187.7,>90%
PSME45,471.7,10%
PSME46,189.7,25%
PSME47,185,>90%
PSME48,444.5,10%
PSME49,176.8,50%
PSME50,188.4,90%
PSME51,188.2,75%
PSME52,194.1,10%
PSME53,180.8,50%
PSME54,185.4,90%
PSME55,183.1,>90%
PSME56,180.1,90%
PSME57,448.5,10%
PSME58,186.6,90%
PSME59,187.8,>90%
PSME60,184.7,50%
