TreeID,Pot_weight_g,Perc_brown
PIFL1,503.6,10%
PIFL2,281.5,10%
PIFL3,241.8,10%
PIFL4,217.4,10%
PIFL5,239.6,10%
PIFL6,238.7,10%
PIFL7,217.7,10%
PIFL8,284.5,10%
PIFL9,533.9,10%
PIFL10,213.1,10%
PIFL11,244.3,10%
PIFL12,529.3,10%
PIFL13,216.5,10%
PIFL14,257.8,10%
PIFL15,217.9,10%
PIFL16,269.1,10%
PIFL17,220.5,10%
PIFL18,219.5,10%
PIFL19,241.7,10%
PIFL20,244.4,10%
PIFL21,518.3,10%
PIFL22,236.3,10%
PIFL23,228.4,10%
PIFL24,350.2,10%
PIFL25,346.3,10%
PIFL26,225.2,10%
PIFL27,249.9,10%
PIFL28,463.6,10%
PIFL29,222.3,10%
PIFL30,212.3,10%
PIFL31,218.4,10%
PIFL32,209.7,10%
PIFL33,221.9,10%
PIFL34,219.3,10%
PIFL35,211.3,10%
PIFL36,497.3,10%
PIFL37,273.5,10%
PIFL38,212.4,10%
PIFL39,232.1,10%
PIFL40,304.6,10%
PIFL41,496.9,10%
PIFL42,212,10%
PIFL43,210.2,10%
PIFL44,249.1,10%
PIFL45,216.9,10%
PIFL46,482,10%
PIFL47,250.2,10%
PIFL48,217.6,10%
PIFL49,215.4,10%
PIFL50,231,10%
PIFL51,209.1,10%
PIFL52,496.1,10%
PIFL53,261.5,10%
PIFL54,227.6,10%
PIFL55,441.9,10%
PIFL56,233.9,10%
PIFL57,230,10%
PIFL58,217.9,10%
PIFL59,214.9,10%
PIFL60,207.4,10%
