TreeID,Pot_weight_g,Perc_brown
PIPO1,494.2,10%
PIPO2,204.3,10%
PIPO3,192.8,10%
PIPO4,201.5,10%
PIPO5,450.3,10%
PIPO6,203.7,10%
PIPO7,208.2,10%
PIPO8,206.4,10%
PIPO9,212.3,10%
PIPO10,204.7,10%
PIPO11,389.6,10%
PIPO12,203.6,10%
PIPO13,198.1,10%
PIPO14,202,10%
PIPO15,216.9,10%
PIPO16,210.8,10%
PIPO17,221.4,10%
PIPO18,537.4,10%
PIPO19,204.5,10%
PIPO20,418.2,10%
PIPO21,198.9,10%
PIPO22,197.3,10%
PIPO23,198.1,10%
PIPO24,202.1,10%
PIPO25,199.3,10%
PIPO26,197.7,10%
PIPO27,202.4,10%
PIPO28,198.3,75%
PIPO29,199.8,10%
PIPO30,206.7,10%
PIPO31,512,10%
PIPO32,203.1,25%
PIPO33,206.6,25%
PIPO34,199.1,25%
PIPO35,543.7,10%
PIPO36,216.6,10%
PIPO37,204.2,10%
PIPO38,207.7,10%
PIPO39,205.9,10%
PIPO40,207.5,10%
PIPO41,207.8,10%
PIPO42,201.4,10%
PIPO43,199.7,25%
PIPO44,198.7,10%
PIPO45,206.3,10%
PIPO46,199.4,10%
PIPO47,209.5,10%
PIPO48,247,10%
PIPO49,209.3,25%
PIPO50,202.3,25%
PIPO51,520.1,10%
PIPO52,203.2,10%
PIPO53,489.3,10%
PIPO54,206.2,10%
PIPO55,205.8,50%
PIPO56,,
PIPO57,221,10%
PIPO58,207.4,25%
PIPO59,224.3,10%
PIPO60,206.3,25%
