TreeID,Pot_weight_g,Perc_brown
PIEN1,477.8,10%
PIEN2,212.6,10%
PIEN3,209.2,10%
PIEN4,199.9,10%
PIEN5,207.8,10%
PIEN6,212.2,10%
PIEN7,215.3,10%
PIEN8,229.4,10%
PIEN9,535,25%
PIEN10,206,10%
PIEN11,205.1,10%
PIEN12,218.8,10%
PIEN13,213.5,10%
PIEN14,214,10%
PIEN15,213.3,10%
PIEN16,224.8,10%
PIEN17,224.3,10%
PIEN18,491.7,10%
PIEN19,331.1,10%
PIEN20,213.2,10%
PIEN21,202.9,10%
PIEN22,200.7,10%
PIEN23,205.7,10%
PIEN24,442.2,10%
PIEN25,198.5,10%
PIEN26,197.2,10%
PIEN27,416.1,10%
PIEN28,199.2,10%
PIEN29,297,10%
PIEN30,201.4,10%
PIEN31,461.2,10%
PIEN32,218.2,10%
PIEN33,207,10%
PIEN34,439,10%
PIEN35,203.9,10%
PIEN36,194.7,10%
PIEN37,200.3,10%
PIEN38,384.8,10%
PIEN39,205.6,10%
PIEN40,204.4,10%
PIEN41,194.9,10%
PIEN42,401.3,10%
PIEN43,188.4,10%
PIEN44,194.7,10%
PIEN45,205.9,10%
PIEN46,448,10%
PIEN47,194.5,10%
PIEN48,192.5,10%
PIEN49,196.8,25%
PIEN50,197.8,10%
PIEN51,194.4,10%
PIEN52,208.8,10%
PIEN53,195.8,50%
PIEN54,191.1,10%
PIEN55,187.8,10%
PIEN56,206.3,10%
PIEN57,194.9,10%
PIEN58,204.2,10%
PIEN59,194.5,10%
PIEN60,195,10%
