TreeID,Pot_weight_g,Perc_brown
PSME1,227.5,10%
PSME2,230.9,10%
PSME3,531.1,10%
PSME4,246.1,10%
PSME5,300.8,10%
PSME6,247,10%
PSME7,219.2,10%
PSME8,222.3,10%
PSME9,225,10%
PSME10,211.3,10%
PSME11,217.1,10%
PSME12,518.3,10%
PSME13,264.1,10%
PSME14,233.5,10%
PSME15,217,10%
PSME16,225.7,10%
PSME17,523.8,10%
PSME18,241.6,10%
PSME19,247.1,10%
PSME20,222.2,10%
PSME21,212,10%
PSME22,555.6,10%
PSME23,230.6,10%
PSME24,238.9,10%
PSME25,216.3,10%
PSME26,214.1,10%
PSME27,501.7,10%
PSME28,208.1,10%
PSME29,225.3,10%
PSME30,209.3,10%
PSME31,413.6,10%
PSME32,207.6,10%
PSME33,229.8,10%
PSME34,255.6,10%
PSME35,236,10%
PSME36,221.7,10%
PSME37,488.4,10%
PSME38,218.3,10%
PSME39,207.2,10%
PSME40,211.2,10%
PSME41,209.3,10%
PSME42,220.5,10%
PSME43,217.8,10%
PSME44,213,10%
PSME45,511.8,10%
PSME46,240.8,10%
PSME47,212,10%
PSME48,527.2,10%
PSME49,208.9,10%
PSME50,212.6,10%
PSME51,225.8,10%
PSME52,263.6,10%
PSME53,212.1,10%
PSME54,211.8,10%
PSME55,209.5,10%
PSME56,208.4,10%
PSME57,512.6,10%
PSME58,213.4,10%
PSME59,215.2,10%
PSME60,220,10%
