TreeID,Pot_weight_g,Perc_brown
PSME1,231.2,10%
PSME2,232.4,10%
PSME3,530.3,10%
PSME4,252.9,10%
PSME5,311.5,10%
PSME6,255.9,10%
PSME7,218.9,10%
PSME8,222.1,10%
PSME9,226.4,10%
PSME10,210.6,10%
PSME11,217.5,10%
PSME12,502.8,10%
PSME13,274.3,10%
PSME14,239.8,10%
PSME15,218.6,10%
PSME16,228,10%
PSME17,506.2,10%
PSME18,250.6,10%
PSME19,251.8,10%
PSME20,223,10%
PSME21,215.3,10%
PSME22,540.8,10%
PSME23,240,10%
PSME24,250.2,10%
PSME25,222.7,10%
PSME26,213.8,10%
PSME27,486.9,10%
PSME28,209.8,10%
PSME29,231.4,10%
PSME30,211.6,10%
PSME31,448.8,10%
PSME32,211.8,10%
PSME33,236.9,10%
PSME34,267.1,10%
PSME35,243.5,10%
PSME36,225.1,10%
PSME37,492.7,10%
PSME38,220.8,10%
PSME39,209.8,10%
PSME40,212.9,10%
PSME41,211.4,10%
PSME42,223.6,10%
PSME43,219.8,10%
PSME44,214.3,10%
PSME45,499,10%
PSME46,248.5,10%
PSME47,211.3,10%
PSME48,520.4,10%
PSME49,209.3,10%
PSME50,213.5,10%
PSME51,231.2,10%
PSME52,272.1,10%
PSME53,216.4,10%
PSME54,212.7,10%
PSME55,211.3,10%
PSME56,210.7,10%
PSME57,511.6,10%
PSME58,215.3,10%
PSME59,216.7,10%
PSME60,227.7,10%
