TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIFL1,505.2,10%,4.406
PIFL2,478.7,10%,5.226
PIFL3,465.8,10%,6.314
PIFL4,443.2,10%,4.51
PIFL5,475,10%,4.56
PIFL6,484.6,10%,4.838
PIFL7,427,10%,4.437
PIFL8,493.6,10%,5.692
PIFL9,514.2,10%,4.551
PIFL10,437.6,10%,4.368
PIFL11,470.4,10%,5.263
PIFL12,470.9,10%,5.178
PIFL13,421.6,10%,4.396
PIFL14,475.6,10%,4.365
PIFL15,469.7,10%,5.371
PIFL16,485.2,10%,4.403
PIFL17,446,10%,4.316
PIFL18,456.9,10%,4.652
PIFL19,475,10%,6.396
PIFL20,470.8,10%,4.542
PIFL21,518.7,10%,4.523
PIFL22,491.9,10%,6.235
PIFL23,483.5,10%,5.025
PIFL24,531.9,10%,5.319
PIFL25,505.1,10%,4.959
PIFL26,473.5,10%,4.643
PIFL27,494.5,10%,5.099
PIFL28,493,10%,5.332
PIFL29,478.9,10%,4.902
PIFL30,453.6,10%,3.841
PIFL31,450.3,10%,4.955
PIFL32,470.9,10%,5.419
PIFL33,482.6,10%,5.176
PIFL34,472.3,10%,4.692
PIFL35,425,10%,5.139
PIFL36,484.7,10%,4.805
PIFL37,511.2,10%,4.393
PIFL38,426.5,10%,4.574
PIFL39,492.4,10%,6.218
PIFL40,512.7,10%,4.127
PIFL41,501.7,10%,5.591
PIFL42,455.8,10%,5.072
PIFL43,460.4,10%,4.525
PIFL44,494,10%,5.101
PIFL45,445.4,10%,5.122
PIFL46,486.2,10%,5.097
PIFL47,495.4,10%,4.845
PIFL48,458.3,10%,5.529
PIFL49,474.5,10%,5.913
PIFL50,472.7,10%,4.736
PIFL51,419.2,10%,4.509
PIFL52,485.7,10%,5.832
PIFL53,492.6,10%,4.935
PIFL54,487.2,10%,4.535
PIFL55,465.1,10%,4.966
PIFL56,484.3,10%,4.344
PIFL57,481.7,10%,5.111
PIFL58,475.3,10%,5.255
PIFL59,446.2,10%,4.711
PIFL60,441,10%,4.588
