TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIFL1,526.9,10%,4.749
PIFL2,517.7,10%,5.27
PIFL3,516.4,10%,5.696
PIFL4,494.7,10%,4.712
PIFL5,519.1,10%,5.028
PIFL6,537.7,10%,5.228
PIFL7,495.5,10%,5.252
PIFL8,530.9,10%,5.903
PIFL9,519,10%,4.701
PIFL10,504.2,10%,4.506
PIFL11,512.4,10%,4.901
PIFL12,496.1,10%,5.052
PIFL13,477.5,10%,4.378
PIFL14,511.1,10%,4.944
PIFL15,515,10%,5.561
PIFL16,525.5,10%,4.383
PIFL17,492.9,10%,5.166
PIFL18,505.4,10%,4.615
PIFL19,519.3,10%,6.181
PIFL20,518.2,10%,4.919
PIFL21,528,10%,3.639
PIFL22,521.8,10%,6.416
PIFL23,517.5,10%,5.056
PIFL24,556.8,10%,4.819
PIFL25,531.9,10%,5.196
PIFL26,515,10%,4.971
PIFL27,526.8,10%,4.907
PIFL28,524.3,10%,5.22
PIFL29,525,10%,5.563
PIFL30,506.3,10%,3.94
PIFL31,485.6,10%,4.467
PIFL32,506.3,10%,5.398
PIFL33,510.7,10%,5.088
PIFL34,511.3,10%,5.004
PIFL35,467.8,10%,6.144
PIFL36,484.4,10%,5.15
PIFL37,536.1,10%,4.491
PIFL38,470,10%,4.472
PIFL39,519.4,10%,7.58
PIFL40,532.2,10%,4.633
PIFL41,500.3,10%,5.717
PIFL42,491.7,10%,5.083
PIFL43,498.3,10%,5.596
PIFL44,516,10%,5.632
PIFL45,481.7,10%,5.206
PIFL46,494.5,10%,5.091
PIFL47,511.7,10%,5.138
PIFL48,504.4,10%,5.682
PIFL49,502.5,10%,6.444
PIFL50,502.9,10%,5.861
PIFL51,460.7,10%,4.348
PIFL52,490.7,10%,5.931
PIFL53,515.6,10%,5.619
PIFL54,512,10%,5.732
PIFL55,487.9,10%,5.296
PIFL56,508.8,10%,5.31
PIFL57,511.7,10%,4.679
PIFL58,507.8,10%,6.246
PIFL59,487.9,10%,5.081
PIFL60,483.7,10%,4.996
