TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PSME1,418.7,10%,3.733
PSME2,453.4,10%,5.072
PSME3,488.6,10%,3.827
PSME4,427.3,10%,5.072
PSME5,469.6,10%,2.67
PSME6,453.2,10%,3.738
PSME7,434.3,10%,5.228
PSME8,430.2,10%,4.619
PSME9,448,10%,4.197
PSME10,360.7,10%,5.494
PSME11,416.2,10%,3.656
PSME12,455.1,10%,5.251
PSME13,473.9,10%,3.662
PSME14,452.4,10%,4.353
PSME15,384.6,10%,4.061
PSME16,423.6,10%,3.96
PSME17,470.9,10%,4.499
PSME18,470.6,10%,3.329
PSME19,461.9,10%,3.705
PSME20,412.1,10%,4.203
PSME21,403,10%,4.696
PSME22,514.7,10%,4.255
PSME23,440,10%,4.543
PSME24,450.9,10%,4.988
PSME25,406.1,10%,3.9
PSME26,408.4,10%,4.436
PSME27,476.7,10%,5.012
PSME28,390,10%,4.627
PSME29,443.1,10%,3.351
PSME30,391.1,10%,4.286
PSME31,420.7,10%,5.087
PSME32,437.8,10%,5.253
PSME33,454.2,10%,4.445
PSME34,461.2,10%,3.901
PSME35,421.8,10%,4.932
PSME36,415.3,10%,4.485
PSME37,464.5,10%,4.114
PSME38,434.9,10%,4.749
PSME39,431.8,10%,3.994
PSME40,377.2,10%,4.663
PSME41,383,10%,4.69
PSME42,418.7,10%,4.595
PSME43,375.8,10%,5.268
PSME44,353.2,10%,5.107
PSME45,483.4,10%,3.834
PSME46,442.3,10%,3.807
PSME47,313.6,10%,5.213
PSME48,493.5,10%,4.635
PSME49,399.7,10%,4.394
PSME50,336.5,10%,4.995
PSME51,444.2,10%,3.456
PSME52,466.5,10%,3.766
PSME53,443.1,10%,3.93
PSME54,408.2,10%,4.571
PSME55,383.3,10%,5.16
PSME56,402.1,10%,3.829
PSME57,464.7,10%,4.122
PSME58,439.8,10%,4.28
PSME59,403.1,10%,7.108
PSME60,451.7,10%,4.263
