TreeID,Pot_weight_g,Perc_brown
PSME1,200.9,10%
PSME2,200.6,10%
PSME3,491.1,10%
PSME4,209.2,10%
PSME5,241.5,10%
PSME6,198.2,10%
PSME7,197,25%
PSME8,197,10%
PSME9,199.4,10%
PSME10,190.6,>90%
PSME11,194.1,10%
PSME12,438.9,10%
PSME13,208,25%
PSME14,200.4,10%
PSME15,197.7,50%
PSME16,199.9,10%
PSME17,486,10%
PSME18,201.1,10%
PSME19,208.7,10%
PSME20,198,50%
PSME21,197.9,10%
PSME22,,
PSME23,188.9,10%
PSME24,195.3,10%
PSME25,186.6,10%
PSME26,193.8,90%
PSME27,391.8,10%
PSME28,187.5,50%
PSME29,197.2,25%
PSME30,187.5,10%
PSME31,438,10%
PSME32,186.2,10%
PSME33,198,10%
PSME34,209.9,10%
PSME35,205.2,10%
PSME36,196.3,10%
PSME37,453.3,10%
PSME38,195.8,25%
PSME39,188,10%
PSME40,192,50%
PSME41,191.4,25%
PSME42,197.2,10%
PSME43,196,25%
PSME44,196.1,25%
PSME45,499.5,10%
PSME46,205.6,10%
PSME47,193.4,75%
PSME48,495,10%
PSME49,187.6,25%
PSME50,196.8,75%
PSME51,200.5,10%
PSME52,216.1,10%
PSME53,189.9,10%
PSME54,194.2,25%
PSME55,191,25%
PSME56,189,10%
PSME57,424,10%
PSME58,194.7,75%
PSME59,195.8,25%
PSME60,196.2,10%
