TreeID,Pot_weight_g,Perc_brown
PSME1,192.9,25%
PSME2,192.9,25%
PSME3,417.1,10%
PSME4,194.7,25%
PSME5,221.8,10%
PSME6,183.8,10%
PSME7,190,50%
PSME8,190.3,50%
PSME9,192.9,50%
PSME10,184.5,>90%
PSME11,186.8,25%
PSME12,386.1,10%
PSME13,194.9,25%
PSME14,192.4,50%
PSME15,191.5,90%
PSME16,192.6,50%
PSME17,426.2,10%
PSME18,191.5,50%
PSME19,196.8,25%
PSME20,191.7,75%
PSME21,181.8,75%
PSME22,,
PSME23,181.3,25%
PSME24,185.7,25%
PSME25,178.4,25%
PSME26,188.4,>90%
PSME27,418.4,10%
PSME28,182.3,90%
PSME29,190.1,50%
PSME30,182.3,75%
PSME31,371.8,10%
PSME32,180,75%
PSME33,188.8,25%
PSME34,196.7,10%
PSME35,195.2,25%
PSME36,189.7,75%
PSME37,381.8,10%
PSME38,189.8,90%
PSME39,182.5,75%
PSME40,186,90%
PSME41,186.2,>90%
PSME42,189.9,50%
PSME43,188.9,50%
PSME44,190.2,90%
PSME45,480.3,10%
PSME46,195,10%
PSME47,187.5,90%
PSME48,462,10%
PSME49,180,50%
PSME50,190.9,>90%
PSME51,191.8,25%
PSME52,101.8,10%
PSME53,183.4,50%
PSME54,187.9,75%
PSME55,185.2,90%
PSME56,182.8,75%
PSME57,459.2,10%
PSME58,189.1,90%
PSME59,190,90%
PSME60,187.9,25%
