TreeID,Pot_weight_g,Perc_brown
PIPO1,557.2,10%
PIPO2,239.1,10%
PIPO3,236.3,10%
PIPO4,241.1,10%
PIPO5,567.8,10%
PIPO6,268,10%
PIPO7,312.6,10%
PIPO8,249.1,10%
PIPO9,251.5,10%
PIPO10,258.9,10%
PIPO11,511,10%
PIPO12,240,10%
PIPO13,247.6,10%
PIPO14,269.3,10%
PIPO15,299.8,10%
PIPO16,253.3,10%
PIPO17,322.7,10%
PIPO18,592.7,10%
PIPO19,269.4,10%
PIPO20,558.8,10%
PIPO21,283.2,10%
PIPO22,284.3,10%
PIPO23,260,10%
PIPO24,326.4,10%
PIPO25,251.6,10%
PIPO26,246.1,10%
PIPO27,246.4,10%
PIPO28,233.8,10%
PIPO29,245.6,10%
PIPO30,296.7,10%
PIPO31,245,10%
PIPO32,243.8,10%
PIPO33,242,10%
PIPO34,233.7,10%
PIPO35,583.4,10%
PIPO36,275.3,10%
PIPO37,266,10%
PIPO38,257.1,10%
PIPO39,276,10%
PIPO40,305.9,10%
PIPO41,253.9,10%
PIPO42,266,10%
PIPO43,234.5,10%
PIPO44,233.8,10%
PIPO45,249.5,10%
PIPO46,239.5,10%
PIPO47,273,10%
PIPO48,315.5,10%
PIPO49,250.7,10%
PIPO50,236.9,10%
PIPO51,519.8,10%
PIPO52,266.6,10%
PIPO53,523,10%
PIPO54,243.3,10%
PIPO55,239.9,10%
PIPO56,535.5,10%
PIPO57,238.6,10%
PIPO58,245.8,10%
PIPO59,307.5,10%
PIPO60,260.2,10%
