TreeID,Pot_weight_g,Perc_brown
PIPO1,541.9,10%
PIPO2,224.2,10%
PIPO3,216.5,10%
PIPO4,224.9,10%
PIPO5,541.1,10%
PIPO6,230.7,10%
PIPO7,251.4,10%
PIPO8,230.3,10%
PIPO9,236.7,10%
PIPO10,234,10%
PIPO11,493.4,10%
PIPO12,226.6,10%
PIPO13,220.9,10%
PIPO14,233.5,10%
PIPO15,254.7,10%
PIPO16,231.4,10%
PIPO17,259.2,10%
PIPO18,571.7,10%
PIPO19,233.5,10%
PIPO20,524.7,10%
PIPO21,232.9,10%
PIPO22,225.3,10%
PIPO23,222.2,10%
PIPO24,237.4,10%
PIPO25,224,10%
PIPO26,221.7,10%
PIPO27,227.7,10%
PIPO28,220.6,10%
PIPO29,224.8,10%
PIPO30,243.6,10%
PIPO31,556.5,10%
PIPO32,224.8,10%
PIPO33,230,10%
PIPO34,220.3,10%
PIPO35,586.7,10%
PIPO36,251.1,10%
PIPO37,230.3,10%
PIPO38,231.7,10%
PIPO39,231.9,10%
PIPO40,246.6,10%
PIPO41,232,10%
PIPO42,230,10%
PIPO43,220.2,10%
PIPO44,218.8,10%
PIPO45,228.4,10%
PIPO46,220.1,10%
PIPO47,236.8,10%
PIPO48,279.2,10%
PIPO49,232.1,10%
PIPO50,224.3,10%
PIPO51,533.2,10%
PIPO52,228.9,10%
PIPO53,245.6,10%
PIPO54,225.5,10%
PIPO55,228,10%
PIPO56,546.5,10%
PIPO57,222.3,10%
PIPO58,228.7,10%
PIPO59,265.9,10%
PIPO60,233.6,10%
