TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PSME1,292.6,10%,3.486
PSME2,320.7,10%,4.254
PSME3,536.2,10%,4.03
PSME4,318.8,10%,4.351
PSME5,394.1,10%,2.492
PSME6,360,10%,3.831
PSME7,270.9,10%,4.218
PSME8,275.5,10%,5.171
PSME9,293.7,10%,4.077
PSME10,240.5,10%,4.143
PSME11,266.1,10%,4.014
PSME12,528.7,10%,4.837
PSME13,379.5,10%,3.591
PSME14,336.8,10%,3.836
PSME15,253.2,10%,5.077
PSME16,294.6,10%,4.23
PSME17,512.4,10%,4.545
PSME18,367.1,10%,6.317
PSME19,341.9,10%,3.704
PSME20,277.9,10%,4.808
PSME21,276.7,10%,4.61
PSME22,576,10%,3.597
PSME23,341.6,10%,3.854
PSME24,357.3,10%,4.294
PSME25,297.4,10%,3.867
PSME26,239.7,10%,4.876
PSME27,559.4,10%,5.019
PSME28,253.2,10%,4.43
PSME29,315.6,10%,3.437
PSME30,264.6,10%,3.567
PSME31,404.9,10%,5.812
PSME32,285.2,10%,4.078
PSME33,307.2,10%,3.396
PSME34,338.7,10%,3.637
PSME35,300.9,10%,3.632
PSME36,266.8,10%,4.468
PSME37,483.9,10%,4.511
PSME38,268.8,10%,4.759
PSME39,260.2,10%,3.879
PSME40,241.7,10%,4.86
PSME41,241.9,10%,5.129
PSME42,265.6,10%,4.65
PSME43,250.4,10%,5.126
PSME44,234.8,10%,5.016
PSME45,382.3,10%,4.418
PSME46,314.3,10%,3.811
PSME47,227.3,10%,4.463
PSME48,433.2,10%,4.893
PSME49,246.1,10%,4.828
PSME50,231.7,10%,5.145
PSME51,286.8,10%,3.213
PSME52,327.4,10%,3.521
PSME53,277.6,10%,3.915
PSME54,238.1,10%,4.49
PSME55,234.1,10%,4.741
PSME56,251,10%,4.431
PSME57,492.8,10%,5.707
PSME58,257,10%,5.069
PSME59,242.2,10%,5.753
PSME60,297.4,10%,4.112
