TreeID,Pot_weight_g,Perc_brown
PIPO1,551.5,10%
PIPO2,222.2,10%
PIPO3,215,10%
PIPO4,223.3,10%
PIPO5,553.4,10%
PIPO6,228.3,10%
PIPO7,242.6,10%
PIPO8,228.6,10%
PIPO9,235.1,10%
PIPO10,232,10%
PIPO11,510.8,10%
PIPO12,225.8,10%
PIPO13,220.6,10%
PIPO14,230.9,10%
PIPO15,249.5,10%
PIPO16,230,25%
PIPO17,255,10%
PIPO18,584.1,10%
PIPO19,231.4,10%
PIPO20,543.8,10%
PIPO21,228.2,10%
PIPO22,220.5,10%
PIPO23,218.8,10%
PIPO24,228,10%
PIPO25,221.1,10%
PIPO26,219.2,10%
PIPO27,224.8,10%
PIPO28,218.7,10%
PIPO29,222.2,10%
PIPO30,237.1,10%
PIPO31,557.5,10%
PIPO32,222.2,10%
PIPO33,227.1,10%
PIPO34,218,10%
PIPO35,580.6,10%
PIPO36,246.6,10%
PIPO37,225.6,10%
PIPO38,228.9,10%
PIPO39,226.9,10%
PIPO40,236.5,10%
PIPO41,228.9,10%
PIPO42,225.1,10%
PIPO43,218,10%
PIPO44,217,10%
PIPO45,226.4,10%
PIPO46,218.2,10%
PIPO47,232.7,10%
PIPO48,276,10%
PIPO49,230.2,10%
PIPO50,222.8,10%
PIPO51,546.4,10%
PIPO52,224.5,10%
PIPO53,548.5,10%
PIPO54,224.1,10%
PIPO55,225.8,10%
PIPO56,559.5,10%
PIPO57,220.6,10%
PIPO58,227,10%
PIPO59,259,10%
PIPO60,230.7,10%
