TreeID,Pot_weight_g,Perc_brown
PIFL1,569.9,10%
PIFL2,202.4,10%
PIFL3,197.7,10%
PIFL4,188,50%
PIFL5,196.6,10%
PIFL6,202.4,10%
PIFL7,193.2,25%
PIFL8,203.6,10%
PIFL9,574.2,10%
PIFL10,187.4,>90%
PIFL11,197,10%
PIFL12,594.2,10%
PIFL13,187.3,25%
PIFL14,200.9,10%
PIFL15,192.5,50%
PIFL16,201.8,10%
PIFL17,191.4,75%
PIFL18,186.2,10%
PIFL19,199.8,10%
PIFL20,192.9,10%
PIFL21,562.2,10%
PIFL22,192.9,10%
PIFL23,191.1,50%
PIFL24,215.6,10%
PIFL25,235.5,10%
PIFL26,193.3,10%
PIFL27,191.5,25%
PIFL28,548.9,10%
PIFL29,192,75%
PIFL30,185.7,50%
PIFL31,191.2,90%
PIFL32,186.8,>90%
PIFL33,191.1,10%
PIFL34,191.8,>90%
PIFL35,187.1,50%
PIFL36,557.8,10%
PIFL37,204.3,10%
PIFL38,190.3,>90%
PIFL39,191.3,10%
PIFL40,210.9,10%
PIFL41,572.1,10%
PIFL42,190.9,>90%
PIFL43,186.4,>90%
PIFL44,200.3,10%
PIFL45,185.7,25%
PIFL46,568.7,10%
PIFL47,196.9,10%
PIFL48,193.3,>90%
PIFL49,190.6,90%
PIFL50,192.1,25%
PIFL51,185.7,>90%
PIFL52,549.5,10%
PIFL53,204.5,10%
PIFL54,191.5,25%
PIFL55,549.1,10%
PIFL56,194.8,75%
PIFL57,196.5,75%
PIFL58,191,90%
PIFL59,191.7,>90%
PIFL60,184.9,>90%
