TreeID,Pot_weight_g,Perc_brown
PIPO1,462.4,10%
PIPO2,201.2,75%
PIPO3,188.7,50%
PIPO4,198.1,50%
PIPO5,442.2,10%
PIPO6,199.9,10%
PIPO7,202.7,10%
PIPO8,202.6,25%
PIPO9,208.6,25%
PIPO10,201,10%
PIPO11,374.6,10%
PIPO12,200,25%
PIPO13,194.4,10%
PIPO14,196.5,25%
PIPO15,210.3,10%
PIPO16,207.2,>90%
PIPO17,214.5,10%
PIPO18,522.9,10%
PIPO19,199.5,50%
PIPO20,383.5,10%
PIPO21,194.3,10%
PIPO22,192.9,25%
PIPO23,193.9,10%
PIPO24,197.4,25%
PIPO25,195.9,25%
PIPO26,194.4,10%
PIPO27,199,50%
PIPO28,193.3,90%
PIPO29,195.8,25%
PIPO30,201.1,10%
PIPO31,503.2,10%
PIPO32,200.1,75%
PIPO33,203.7,50%
PIPO34,195.8,50%
PIPO35,521.1,10%
PIPO36,210.6,25%
PIPO37,200.1,10%
PIPO38,203.3,10%
PIPO39,202,10%
PIPO40,203.1,10%
PIPO41,203.6,10%
PIPO42,197,10%
PIPO43,197,25%
PIPO44,195.4,25%
PIPO45,203.1,10%
PIPO46,196.1,25%
PIPO47,205.3,10%
PIPO48,241.2,25%
PIPO49,205.3,50%
PIPO50,198.5,50%
PIPO51,510.8,10%
PIPO52,199,25%
PIPO53,446.9,10%
PIPO54,202.2,25%
PIPO55,202.8,75%
PIPO56,,
PIPO57,214.6,10%
PIPO58,203.6,25%
PIPO59,218.3,10%
PIPO60,202.3,50%
