TreeID,Pot_weight_g,Perc_brown
PIPO1,505.1,10%
PIPO2,211.4,10%
PIPO3,204.7,10%
PIPO4,212,10%
PIPO5,496.3,10%
PIPO6,216.4,10%
PIPO7,223.8,10%
PIPO8,218.1,10%
PIPO9,224.1,10%
PIPO10,218.3,10%
PIPO11,418.2,10%
PIPO12,214.6,10%
PIPO13,209.7,10%
PIPO14,217.6,10%
PIPO15,233.5,10%
PIPO16,219.7,75%
PIPO17,238.8,10%
PIPO18,540.3,10%
PIPO19,218.7,10%
PIPO20,456.4,10%
PIPO21,214.8,10%
PIPO22,208.9,10%
PIPO23,208.6,10%
PIPO24,214.1,10%
PIPO25,209.9,10%
PIPO26,208.6,10%
PIPO27,214.1,10%
PIPO28,209.3,10%
PIPO29,211.5,10%
PIPO30,222.4,10%
PIPO31,524.1,10%
PIPO32,213.7,10%
PIPO33,217.6,10%
PIPO34,209.3,10%
PIPO35,541.8,10%
PIPO36,233.9,10%
PIPO37,215.6,10%
PIPO38,219.8,10%
PIPO39,217,10%
PIPO40,219.9,10%
PIPO41,219.7,10%
PIPO42,214,10%
PIPO43,209.5,10%
PIPO44,209.4,10%
PIPO45,217.6,10%
PIPO46,210,10%
PIPO47,221.7,10%
PIPO48,263.8,10%
PIPO49,221.3,10%
PIPO50,214.3,10%
PIPO51,520.3,10%
PIPO52,214.4,10%
PIPO53,509.8,10%
PIPO54,216.4,10%
PIPO55,216.3,10%
PIPO56,502.8,90%
PIPO57,270.4,10%
PIPO58,218.5,10%
PIPO59,241.4,10%
PIPO60,219.8,10%
