TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIEN1,545,10%,4.401
PIEN2,287,10%,4.744
PIEN3,378.7,10%,5.36
PIEN4,388.1,10%,4.482
PIEN5,322.9,10%,4.694
PIEN6,436.2,10%,3.816
PIEN7,353.1,10%,5.042
PIEN8,442.6,10%,4.488
PIEN9,572.7,10%,3.586
PIEN10,312.8,10%,5.011
PIEN11,302.5,10%,5.112
PIEN12,429.3,10%,4.948
PIEN13,322.5,10%,6.557
PIEN14,394,10%,5.926
PIEN15,399.5,10%,5.83
PIEN16,418,10%,5.687
PIEN17,419.7,10%,5.804
PIEN18,561,10%,5.469
PIEN19,482.7,10%,4.41
PIEN20,355.6,10%,4.555
PIEN21,394.3,10%,5.174
PIEN22,311.4,10%,5.048
PIEN23,416.2,10%,4.304
PIEN24,562.2,10%,4.224
PIEN25,345.3,10%,4.961
PIEN26,386.7,10%,5.678
PIEN27,525.1,10%,5.564
PIEN28,268,10%,4.914
PIEN29,497.3,10%,3.003
PIEN30,335.3,10%,6.207
PIEN31,441.5,10%,4.486
PIEN32,385.5,10%,3.117
PIEN33,322.3,10%,4.283
PIEN34,391.4,10%,5.508
PIEN35,297.7,10%,5.133
PIEN36,259.9,10%,4.694
PIEN37,355.3,10%,3.679
PIEN38,371.3,10%,4.376
PIEN39,365.3,10%,4.526
PIEN40,253.7,10%,5.319
PIEN41,251.6,10%,4.909
PIEN42,333.1,10%,4.739
PIEN43,272.4,10%,4.843
PIEN44,231.1,10%,4.944
PIEN45,248,10%,5.347
PIEN46,404,10%,3.029
PIEN47,323.3,10%,3.818
PIEN48,281.8,10%,4.878
PIEN49,261.6,10%,4.934
PIEN50,313.2,10%,4.198
PIEN51,272.8,10%,5.16
PIEN52,355.3,10%,5.485
PIEN53,238.1,10%,5.714
PIEN54,255,10%,5.592
PIEN55,242.1,10%,4.946
PIEN56,311.7,10%,3.581
PIEN57,271.1,10%,5.691
PIEN58,302.8,10%,4.127
PIEN59,277,10%,5.643
PIEN60,292.5,10%,3.798
