TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIFL1,546.8,10%,4.516
PIFL2,428.7,10%,5.184
PIFL3,400.4,10%,4.403
PIFL4,351.4,10%,4.52
PIFL5,399.5,10%,4.474
PIFL6,402.6,10%,4.662
PIFL7,317.8,10%,4.668
PIFL8,445.4,10%,5.943
PIFL9,560,10%,5.1
PIFL10,313,10%,4.302
PIFL11,399.1,10%,4.35
PIFL12,557.5,10%,5.17
PIFL13,311.1,10%,4.458
PIFL14,409.4,10%,4.299
PIFL15,366.9,10%,5.166
PIFL16,423.4,10%,3.89
PIFL17,346.4,10%,4.2
PIFL18,368.2,10%,4.551
PIFL19,388.4,10%,5.564
PIFL20,387.8,10%,4.677
PIFL21,555.7,10%,5.399
PIFL22,419,10%,5.083
PIFL23,402.1,10%,4.908
PIFL24,487.7,10%,4.854
PIFL25,464.6,10%,5.005
PIFL26,379.3,10%,4.504
PIFL27,438.8,10%,5.146
PIFL28,447.2,10%,5.523
PIFL29,399.4,10%,4.913
PIFL30,345.6,10%,3.803
PIFL31,314.8,10%,4.366
PIFL32,312.2,10%,5.077
PIFL33,342.3,10%,4.947
PIFL34,326.3,10%,4.386
PIFL35,267.8,10%,5.172
PIFL36,518,10%,5.021
PIFL37,392.3,10%,4.71
PIFL38,268.4,10%,4.443
PIFL39,361.6,10%,5.431
PIFL40,402.4,10%,4.599
PIFL41,521.5,10%,4.833
PIFL42,271.1,10%,4.521
PIFL43,278.2,10%,4.339
PIFL44,361.3,10%,4.209
PIFL45,284.8,10%,4.767
PIFL46,512.7,10%,4.685
PIFL47,373.7,10%,5.11
PIFL48,268.3,10%,5.209
PIFL49,322.9,10%,5.667
PIFL50,342,10%,4.201
PIFL51,264.2,10%,3.771
PIFL52,541.9,10%,5.44
PIFL53,370.4,10%,4.577
PIFL54,344.3,10%,4.313
PIFL55,412.7,10%,5.065
PIFL56,345.3,10%,4.613
PIFL57,320.6,10%,4.274
PIFL58,302.4,10%,4.628
PIFL59,275.2,10%,4.532
PIFL60,265.6,10%,5.062
