TreeID,Pot_weight_g,Perc_brown
PIEN1,562.4,10%
PIEN2,244.7,10%
PIEN3,243.7,10%
PIEN4,244.9,10%
PIEN5,233.8,10%
PIEN6,304.1,10%
PIEN7,242.9,10%
PIEN8,365.9,10%
PIEN9,592.1,10%
PIEN10,234.5,10%
PIEN11,229.9,10%
PIEN12,307.9,10%
PIEN13,239.1,10%
PIEN14,272,10%
PIEN15,263.6,10%
PIEN16,321.7,10%
PIEN17,306.7,10%
PIEN18,581.5,10%
PIEN19,444.1,10%
PIEN20,242.3,10%
PIEN21,255,10%
PIEN22,227.7,10%
PIEN23,267.6,10%
PIEN24,584.3,10%
PIEN25,228,10%
PIEN26,238.9,10%
PIEN27,563,10%
PIEN28,219.4,10%
PIEN29,439.3,10%
PIEN30,227.6,10%
PIEN31,553.5,10%
PIEN32,320,10%
PIEN33,243.5,10%
PIEN34,553.1,10%
PIEN35,232.4,10%
PIEN36,217.5,10%
PIEN37,269.4,10%
PIEN38,529.2,10%
PIEN39,271.6,10%
PIEN40,226.8,10%
PIEN41,220.1,10%
PIEN42,523,10%
PIEN43,214.2,10%
PIEN44,217.2,10%
PIEN45,226.1,10%
PIEN46,516.5,10%
PIEN47,233.3,10%
PIEN48,219.9,10%
PIEN49,225,10%
PIEN50,247.7,10%
PIEN51,221.6,10%
PIEN52,283.6,10%
PIEN53,222.2,10%
PIEN54,217.1,10%
PIEN55,213.7,10%
PIEN56,244.1,10%
PIEN57,223.9,10%
PIEN58,240.7,10%
PIEN59,222.4,10%
PIEN60,226.5,10%
