TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIFL1,548.7,10%,6.363
PIFL2,335.3,10%,
PIFL3,283.8,10%,5.573
PIFL4,236.3,10%,
PIFL5,271.2,10%,
PIFL6,236.4,10%,
PIFL7,229.5,10%,
PIFL8,355.9,10%,
PIFL9,568.2,10%,5.729
PIFL10,224.8,10%,5.494
PIFL11,282.4,10%,
PIFL12,572.3,10%,5.721
PIFL13,230.4,10%,
PIFL14,315.3,10%,
PIFL15,234.1,10%,
PIFL16,318,10%,
PIFL17,236.2,10%,4.56
PIFL18,240,10%,
PIFL19,279.1,10%,
PIFL20,287.6,10%,
PIFL21,566.3,10%,4.981
PIFL22,304.2,10%,
PIFL23,264.7,10%,
PIFL24,416.8,10%,
PIFL25,395.2,10%,
PIFL26,248.7,10%,
PIFL27,337.2,10%,5.518
PIFL28,536.7,10%,5.937
PIFL29,256.8,10%,6.612
PIFL30,228.5,10%,
PIFL31,235.6,10%,
PIFL32,223.7,10%,
PIFL33,248.2,10%,
PIFL34,237.6,10%,
PIFL35,223.8,10%,
PIFL36,540.1,10%,5.612
PIFL37,328.9,10%,
PIFL38,222.5,10%,
PIFL39,277.6,10%,
PIFL40,354,10%,6.006
PIFL41,545.7,10%,6.228
PIFL42,222.1,10%,
PIFL43,220.6,10%,5.006
PIFL44,280.1,10%,
PIFL45,233.2,10%,
PIFL46,535.4,10%,5.262
PIFL47,302.7,10%,6.154
PIFL48,227.8,10%,
PIFL49,232,10%,
PIFL50,257.2,10%,
PIFL51,220.5,10%,
PIFL52,551.9,10%,5.712
PIFL53,301.4,10%,
PIFL54,255.2,10%,5.898
PIFL55,499.8,10%,6.262
PIFL56,258,10%,
PIFL57,248.7,10%,5.68
PIFL58,232.4,10%,
PIFL59,226.2,10%,
PIFL60,218.6,10%,
