TreeID,Pot_weight_g,Perc_brown
PIPO1,551.8,10%
PIPO2,233.1,10%
PIPO3,226.5,10%
PIPO4,234.2,10%
PIPO5,556.2,10%
PIPO6,246.8,10%
PIPO7,285.1,10%
PIPO8,240.4,10%
PIPO9,245.5,10%
PIPO10,248.2,10%
PIPO11,491.7,10%
PIPO12,235.3,10%
PIPO13,234.8,10%
PIPO14,252.3,10%
PIPO15,280.8,10%
PIPO16,243.1,10%
PIPO17,290.4,10%
PIPO18,577.9,10%
PIPO19,253.5,10%
PIPO20,528.3,10%
PIPO21,258.1,10%
PIPO22,254.4,10%
PIPO23,241.2,10%
PIPO24,294.3,10%
PIPO25,237.7,10%
PIPO26,233.4,10%
PIPO27,238.1,10%
PIPO28,228.7,25%
PIPO29,236.2,10%
PIPO30,274,10%
PIPO31,559.2,10%
PIPO32,233.6,10%
PIPO33,236.7,10%
PIPO34,227.3,10%
PIPO35,571.8,10%
PIPO36,264.4,10%
PIPO37,249.2,10%
PIPO38,243,10%
PIPO39,253.9,10%
PIPO40,280.9,10%
PIPO41,243.8,10%
PIPO42,248.2,10%
PIPO43,227,10%
PIPO44,226,10%
PIPO45,237.8,10%
PIPO46,228.8,10%
PIPO47,254.6,10%
PIPO48,299.5,10%
PIPO49,241.3,10%
PIPO50,231,10%
PIPO51,514.8,10%
PIPO52,248.4,10%
PIPO53,519.3,10%
PIPO54,234.1,10%
PIPO55,234.5,10%
PIPO56,524.1,10%
PIPO57,229.2,10%
PIPO58,236.7,10%
PIPO59,288.9,10%
PIPO60,245.9,10%
