TreeID,Pot_weight_g,Perc_brown
PIFL1,548.7,10%
PIFL2,229,10%
PIFL3,216,10%
PIFL4,201.4,10%
PIFL5,216.1,10%
PIFL6,218.1,10%
PIFL7,205,10%
PIFL8,228.5,10%
PIFL9,287.8,10%
PIFL10,199.2,10%
PIFL11,214.8,10%
PIFL12,568.7,10%
PIFL13,200.9,10%
PIFL14,222.3,10%
PIFL15,204,10%
PIFL16,229,10%
PIFL17,205.7,10%
PIFL18,201.2,10%
PIFL19,217.6,10%
PIFL20,211.5,10%
PIFL21,557.3,10%
PIFL22,207.8,10%
PIFL23,206.6,10%
PIFL24,269.1,10%
PIFL25,291.3,10%
PIFL26,207.6,10%
PIFL27,212.1,10%
PIFL28,535.6,10%
PIFL29,205.3,10%
PIFL30,198,10%
PIFL31,203.7,10%
PIFL32,197.2,10%
PIFL33,205.6,10%
PIFL34,204.9,10%
PIFL35,198.8,10%
PIFL36,564.7,10%
PIFL37,226.2,10%
PIFL38,200.5,10%
PIFL39,209.1,10%
PIFL40,252.7,10%
PIFL41,560.9,10%
PIFL42,200.6,10%
PIFL43,196.9,10%
PIFL44,224.1,10%
PIFL45,201.7,10%
PIFL46,559.5,10%
PIFL47,218.8,10%
PIFL48,204.5,25%
PIFL49,202.4,10%
PIFL50,210.2,10%
PIFL51,196.8,10%
PIFL52,554.9,10%
PIFL53,231.4,10%
PIFL54,208,10%
PIFL55,519.5,10%
PIFL56,213.9,10%
PIFL57,212.8,10%
PIFL58,203.7,10%
PIFL59,202.5,10%
PIFL60,194.8,10%
