TreeID,Pot_weight_g,Perc_brown
PIEN1,570.4,10%
PIEN2,240.9,10%
PIEN3,236.7,10%
PIEN4,231.1,10%
PIEN5,230,10%
PIEN6,287.4,10%
PIEN7,238.9,10%
PIEN8,352.7,10%
PIEN9,590.2,10%
PIEN10,230.6,10%
PIEN11,227.3,10%
PIEN12,289.8,10%
PIEN13,236.2,10%
PIEN14,254.6,10%
PIEN15,245.8,10%
PIEN16,309.1,10%
PIEN17,288.5,10%
PIEN18,585.7,10%
PIEN19,440.3,10%
PIEN20,237.8,10%
PIEN21,236.1,10%
PIEN22,224.7,10%
PIEN23,247.3,10%
PIEN24,586.2,10%
PIEN25,222.9,10%
PIEN26,227.7,10%
PIEN27,563.7,10%
PIEN28,217.6,10%
PIEN29,431.7,10%
PIEN30,224.8,10%
PIEN31,565,10%
PIEN32,312.8,10%
PIEN33,236.1,10%
PIEN34,564.1,10%
PIEN35,228.7,10%
PIEN36,215.7,10%
PIEN37,257,10%
PIEN38,550,10%
PIEN39,258.3,10%
PIEN40,224.9,10%
PIEN41,217.8,10%
PIEN42,544.2,10%
PIEN43,211.9,10%
PIEN44,215.7,10%
PIEN45,224.5,10%
PIEN46,528.6,10%
PIEN47,226.1,10%
PIEN48,216.5,10%
PIEN49,222.2,10%
PIEN50,240.5,10%
PIEN51,219.1,10%
PIEN52,276.5,10%
PIEN53,219.7,10%
PIEN54,214.7,10%
PIEN55,211.4,10%
PIEN56,236,10%
PIEN57,221.4,10%
PIEN58,236,10%
PIEN59,219,10%
PIEN60,221.5,10%
