TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PIPO1,536.2,10%,4.467
PIPO2,499.4,10%,7.005
PIPO3,481.2,10%,6.201
PIPO4,521.1,10%,5.622
PIPO5,555.1,10%,8.868
PIPO6,532.3,10%,6.906
PIPO7,538,10%,4.457
PIPO8,543.7,10%,7.129
PIPO9,539.7,10%,7.013
PIPO10,546,10%,6.954
PIPO11,463.7,10%,6.667
PIPO12,517.6,10%,7.945
PIPO13,522.8,10%,5.654
PIPO14,526.5,10%,6.002
PIPO15,557.7,10%,5.584
PIPO16,511.5,10%,4.618
PIPO17,557.8,10%,6.993
PIPO18,561.7,10%,5.773
PIPO19,536.1,10%,5.652
PIPO20,537,10%,5.432
PIPO21,557.9,10%,6.003
PIPO22,535.4,10%,5.914
PIPO23,530.4,10%,5.62
PIPO24,528.3,10%,5.176
PIPO25,538,10%,4.898
PIPO26,534.4,10%,6.398
PIPO27,529.7,10%,7.642
PIPO28,500.8,10%,6.855
PIPO29,534.9,10%,6.59
PIPO30,543.2,10%,5.904
PIPO31,560.8,10%,5.182
PIPO32,557.2,10%,5.683
PIPO33,532,10%,5.219
PIPO34,535.9,10%,5.053
PIPO35,563.2,10%,4.346
PIPO36,550.8,10%,6.333
PIPO37,524.6,10%,4.807
PIPO38,559.6,10%,5.033
PIPO39,561.5,10%,4.766
PIPO40,547.2,10%,5.237
PIPO41,467.9,10%,5.248
PIPO42,512.1,10%,5.802
PIPO43,497.2,10%,5.454
PIPO44,469.5,10%,5.635
PIPO45,515.5,10%,6.042
PIPO46,508.9,10%,5.645
PIPO47,535.4,10%,5.584
PIPO48,525,10%,5.048
PIPO49,509.4,10%,6.348
PIPO50,444.4,10%,6.582
PIPO51,460.5,10%,5.878
PIPO52,525.5,10%,4.914
PIPO53,508.5,10%,6.157
PIPO54,506.5,10%,5.473
PIPO55,430.5,10%,7.297
PIPO56,508.4,10%,5.265
PIPO57,508.7,10%,6.648
PIPO58,484.6,10%,4.962
PIPO59,536.7,10%,5.688
PIPO60,495.1,10%,6.384
