TreeID,Pot_weight_g,Perc_brown
PSME1,270.2,10%
PSME2,280.4,10%
PSME3,529.8,10%
PSME4,295.3,10%
PSME5,371.9,10%
PSME6,325.5,10%
PSME7,245.2,10%
PSME8,251.1,10%
PSME9,261.4,10%
PSME10,227.8,10%
PSME11,244.9,10%
PSME12,518.8,10%
PSME13,351.2,10%
PSME14,303.9,10%
PSME15,238.1,10%
PSME16,265.7,10%
PSME17,515.4,10%
PSME18,335,10%
PSME19,306.7,10%
PSME20,255.4,10%
PSME21,252.2,10%
PSME22,577.8,10%
PSME23,315.2,10%
PSME24,327.3,10%
PSME25,271.3,10%
PSME26,230.8,10%
PSME27,542.7,10%
PSME28,233.9,10%
PSME29,283.1,10%
PSME30,242.6,10%
PSME31,401.4,10%
PSME32,262.5,10%
PSME33,283.8,10%
PSME34,324.6,10%
PSME35,281.9,10%
PSME36,251.5,10%
PSME37,493.8,10%
PSME38,250.8,10%
PSME39,239.8,10%
PSME40,230.1,10%
PSME41,228.3,10%
PSME42,248.7,10%
PSME43,237.2,10%
PSME44,225.1,10%
PSME45,424.8,10%
PSME46,296.9,10%
PSME47,221,10%
PSME48,485.7,10%
PSME49,230,10%
PSME50,223.6,10%
PSME51,268.1,10%
PSME52,312.5,10%
PSME53,258.9,10%
PSME54,225.9,10%
PSME55,223.3,10%
PSME56,233.8,10%
PSME57,501.4,10%
PSME58,237.4,10%
PSME59,229.8,10%
PSME60,277.6,10%
