TreeID,Pot_weight_g,Perc_brown,Diameter_mm
PSME1,311.6,10%,3.366
PSME2,349.6,10%,3.701
PSME3,509.3,10%,4.016
PSME4,336.5,10%,4.089
PSME5,409.5,10%,2.678
PSME6,380,10%,3.061
PSME7,299.7,10%,4.658
PSME8,307.1,10%,4.477
PSME9,323.5,10%,4.082
PSME10,251.5,10%,4.076
PSME11,288.4,10%,3.799
PSME12,485.8,10%,3.99
PSME13,401.3,10%,3.251
PSME14,359.3,10%,3.761
PSME15,267.1,10%,4.376
PSME16,319.7,10%,4.143
PSME17,460.2,10%,4.142
PSME18,390.7,10%,2.914
PSME19,369.6,10%,3.25
PSME20,295.8,10%,4.362
PSME21,296.8,10%,4.112
PSME22,539.3,10%,3.344
PSME23,361.5,10%,3.725
PSME24,377.4,10%,3.811
PSME25,315.3,10%,3.287
PSME26,247.6,10%,4.601
PSME27,515.5,10%,5.029
PSME28,272.9,10%,4.297
PSME29,340.2,10%,3.504
PSME30,279.5,10%,3.635
PSME31,345.7,10%,4.942
PSME32,314,10%,4.439
PSME33,334.1,10%,3.584
PSME34,359.7,10%,3.361
PSME35,316.6,10%,3.11
PSME36,282.8,10%,4.183
PSME37,402,10%,4.831
PSME38,289.6,10%,4.468
PSME39,283.8,10%,4.361
PSME40,254.3,10%,4.849
PSME41,255.1,10%,4.597
PSME42,281.5,10%,4.615
PSME43,266.6,10%,6.236
PSME44,248.8,10%,4.722
PSME45,422,10%,3.919
PSME46,334.3,10%,3.698
PSME47,236.2,10%,4.994
PSME48,421.6,10%,4.33
PSME49,270.9,10%,4.313
PSME50,244,10%,4.7
PSME51,305.9,10%,3.891
PSME52,349.9,10%,4
PSME53,304.8,10%,3.848
PSME54,255.7,10%,4.493
PSME55,250.3,10%,4.966
PSME56,269.8,10%,4.27
PSME57,354.5,10%,4.246
PSME58,278.4,10%,4.584
PSME59,259.8,10%,6.283
PSME60,321.6,10%,4.383
